Field_Note,Outfall_Vi,Monitor,Adj_Basin_,Runoff_Fac,Graffiti,DWM_cfs_ac,percent_ac,DWM_cfs,Location,ATLAS,Receiving,percent_ro,Insp_Date,Pipe_Size,Saturation,Elevation,Users,MWRD_cfs_a,Outfall_Ph,TG,Basin_Ac,Structural,STATUS,Shaft,Easting,MWRD,Comment,Bank_Erosi,users_acre,Bag,Connection,River_Bank,FID,on_CAWS,GPS,Control,MWRD_cfs,311_Street,NAME,Obstructio,Outfall_St,rock_acres,Pipe_Mater,Weather,Outfall_Si,CDM_cfs_ac,Owner,sand_acres,311_Add,Northing
098.pdf,098.mpg,NO,37.8720177591,1.38224087591,NO,0.746197368721,0,28.26,Erie St.,39-3-23,North Branch Chicago River,0,-894435328,3,Invert wet,-3.22,1,0.396070790191,098.jpg,0,27.399,FAIR,Active,I-65(A8B,1171994.31,MS-61A, ,NO,0.0364976823972, ,Interceptor,W,1300,1,YES, ,15,W ERIE ST,098,NO,Headwall,0,Cement,SUNNY,8x5,0.746197368721,DWM,0,630,1904479
099.pdf,099.mpg,NO,135.063297939,1.2307347956,NO,0.261271652581,0,35.2882110556,Erie St.,39-3-23,North Branch Chicago River,0,-894435328,4,Dry,-1.42,0,0.140674782046,099.jpg,0,109.742,FAIR,Active,I-64,1172111.77,MS-61A, ,NO,0, ,Interceptor,E,1301,1,YES, ,19,N LARRABEE ST,099,NO,Headwall,0,Cement,SUNNY,3.5x4.5,0.261271652581,DWM,0,658,1904626.5
100.pdf,100.mpg,NO,35.46405,1.30728583014,NO,1.27055370663,0,45.0589801798,Grand Ave.,39-3-23,North Branch Chicago River,0,-894435328,4,Dry,-1.58,0,0.93051977989,100.jpg,0,27.128,FAIR,Active,I-63,1172646.3447,MS-61A, ,NO,0, ,Interceptor,W,1302,1,YES, ,33,W GRAND AVE,100,NO,Bridge,0,Cement,SUNNY,5,1.27055370663,DWM,0,521,1903735.8498
101.pdf,101.mpg,NO,67.87005,1.13263993191,NO,1.10076635506,0,74.7090675565,Kinzie St.,39-3-23,North Branch Chicago River,0,-894435328,6,Dry,-1.58,0,1.37026567683,101.jpg,0,59.922,FAIR,Active,I-62,1173117.1559,MS-61A, ,NO,0, ,Direct,W,1303,1,YES, ,93,W KINZIE ST,101,NO,Bridge,0,Cement,SUNNY,6,1.10076635506,DWM,0,432,1902935.7191
103.pdf,103.mpg,MWRD,337.415898338,1.00541090089,NO,1.26212663392,0,425.86159,Fulton St.,39-3-24,North Branch Chicago River,0.00499404052443,-894435328,2(7 X 9.5,Invert wet,-10.48,3,0,103.jpg,2,335.6,FAIR,Active,DS-61A,1173259.0579,MS-61A, ,NO,0.00893921334923, ,Direct,W,1304,1,YES, ,780,N CANAL ST,103,NO,Battery,1.676,Cement,SUNNY,2(7x10.7),1.26212663392,DWM,0,231,1902115.207
104.pdf,N/A,NO,16.0355559193,0.569080698392, ,1.76233366291,0,28.26,Lake Shore Dr.,39-3-12,Chicago River,0,,3, ,0,0,0,104.jpg,0,28.178, ,Active,DS-59,1179921.14, ,"Could Not Locate Outfall, (sign only)", ,0, ,Direct,N,1305,1,NO, ,0,N OUTER LAKE SHORE  DR,104, , ,0, , ,N/A,1.76233366291,DWM,0,376,1902930.86
105.pdf,N/A,NO,148.02112,1.04,NO,0.763156816047,0,112.963326647,St. Clair,39-3-15,Chicago River,0,-808035328,5.5,Invert wet,-10.88,1,0,105.jpg,0,142.328,FAIR,Active,DS-57,1177460.69, , ,NO,0.00702602439436, ,Direct,N,1306,1,YES, ,0,E NORTH WATER ST,105,NO,Battery,0,Cement,SUNNY,12x11.5,0.763156816047,DWM,0,225,1902762.14
106.pdf,106.mpg,NO,277.35288,0.84,NO,0.645331375149,0.595777480299,178.984515452,Beaubien Ct.,39-3-16,Chicago River,0,-808035328,9 X 8,Invert wet,-6.18,0,0,106.jpg,0,330.182,FAIR,Active,DS-60,1178065.9847, , ,NO,0, ,Direct,N,1307,1,YES, ,0,N MICHIGAN AVE,106,NO,N/A,0,Cement,SUNNY,5x5,0.645331375149,DWM,196.715,401,1902930.499
109.pdf,109.mpg,NO,38.954125,1.36868433997,NO,0.821503468172,0,32.0009487871,Michigan Ave.,39-3-16,Chicago River,0,-808035328,4,Dry,-2.58,0,0,109.jpg,0,28.461,FAIR,Active,I-59,1177209.6447,MS-55, ,YES,0, ,Interceptor,S,1308,1,YES, ,0,E MICHIGAN AVE,109,NO,Bridge,0,Cement,SUNNY,5x4,0.821503468172,DWM,0,91,1902780.4415
110.pdf,110.mpg,NO,89.71735,1.26014593516,NO,1.49791123215,0,134.388626283,Rush St.,39-3-15,Chicago River,0,-808035328,5,Invert wet,-3.28,0,0,110.jpg,0,71.196,FAIR,Active,I-58,1177048.8172, , ,NO,0, ,Interceptor,N,1309,1,YES, ,0,N RUSH ST,110,NO,Battery,0,Cement,SUNNY,5x4.5,1.49791123215,DWM,0,400,1903027.0961
111.pdf,111.mpg,NO,7.3452,1.30744037024,NO,3.84741055383,0,28.26,Wabash Ave.,39-3-16,Chicago River,0,-808035328,3,Dry,-2.78,0,0,111.jpg,0,5.618,FAIR,Active,I-56,1176623.5558,MS-55, ,NO,0, ,Interceptor,S,1310,1,YES, ,0,N LOWER Wabash Ave,111,NO,Bridge,0,Cement,SUNNY,3,3.84741055383,DWM,0,328,1902397.0947
112.pdf,112.mpg,NO,12.0894,1.39182592678,NO,1.58077966564,0,19.1106776898,State St.,39-3-20,Chicago River,0,-808035328,3,Invert wet,-3.43,0,0,112.jpg,0,8.686,FAIR,Active,I-55,1176397.5888,MS-55, ,NO,0, ,Interceptor,S,1311,1,YES, ,0,N STATE ST,112,NO,Open pipe,0,Cement,SUNNY,3,1.58077966564,DWM,0,321,1902249.4874
113.pdf,113.mpg,NO,9.10432965293,1.37965292513,NO,1.68329729784,0,15.3252935034,Dearborn St.,39-3-20,Chicago River,0,-721635328,2,Dry,-0.68,0,0,113.jpg,0,6.599,FAIR,Active,I-54,1175929.98, ,Unable to receive signal,NO,0, ,Interceptor,N,1312,1,NO, ,0,N DEARBORN ST,113,NO,Bridge,0,Metal,SUNNY,2,1.68329729784,DWM,0,319,1902479.08
114.pdf,114.mpg,MWRD,9.81485,1.37849016854,NO,2.87931043266,0,28.26,Dearborn St.,39-3-20,Chicago River,0,-721635328,3,Invert wet,-4.18,0,0,114.jpg,1,7.12,FAIR,Active,I-53,1175840.73,MS-54,Unable to receive signal,NO,0, ,Interceptor,S,1313,1,NO, ,0,N DEARBORN ST,114,NO,Headwall,0,Metal,SUNNY,3,2.87931043266,DWM,0,304,1902234.04
115.pdf,115.mpg,NO,174.73182491,1.05833933925,NO,0.941465315188,0.740339188371,164.503952612,Clark St.,39-3-20,Chicago River,0,-721635328,6,Invert wet,-3.48,0,0,115.jpg,0,165.1,FAIR,Active,I-52,1175520.67, ,Unable to receive signal,YES,0, ,Interceptor,N,1314,1,NO, ,0,N CLARK ST,115,NO,Bridge,0,Metal,SUNNY,5,0.941465315188,DWM,122.23,319,1902475.81
116.pdf,116.mpg,NO,9.9136,1.3723145072,NO,2.85062943835,0,28.26,Clark St.,39-3-20,Chicago River,0,-721635328,3,Invert wet,-3.33,0,0,116.jpg,0,7.224,FAIR,Active,I-51,1175441.68,MS-54,Unable to receive signal,YES,0, ,Interceptor,S,1315,1,NO, ,0,W LOWER Wacker DR,116,NO,Bridge,0,Metal,SUNNY,3,2.85062943835,DWM,0,106,1902224.1
117.pdf,117.mpg,NO,7.8484,1.4,NO,1.89753509817,0,14.8926144644,LaSalle St.,39-3-20,Chicago River,0,-721635328,2(2.00,Dry,-1.18,0,0,117.jpg,0,5.606,FAIR,Active,I-49,1175138.03, ,Unable to receive signal,YES,0, ,Interceptor,N,1316,1,NO, ,0,N LA SALLE ST,117,NO,Bridge,0,Metal,SUNNY,2,1.89753509817,DWM,0,317,1902475.11
118.pdf,118.mpg,NO,10.7548,1.4,NO,2.6276639268,0,28.26,LaSalle St.,39-3-20,Chicago River,0,-721635328,3,Invert wet,-3.18,0,0,118.jpg,0,7.682,FAIR,Active,I-48,1175139.19,MS-54,Unable to receive signal,NO,0, ,Interceptor,S,1317,1,NO, ,0,N LA SALLE ST,118,YES,Bridge,0,Metal,SUNNY,3.5x3.5,2.6276639268,DWM,0,303,1902264.11
119.pdf,119.mpg,NO,283.402038973,0.986027454692,NO,0.400138264393,0.500553201261,113.4,Wells St.,39-3-20,Chicago River,0,-721635328,5 X 7,Invert wet,-3.18,2,0.402255398067,119.jpg,0,287.418,FAIR,Active,I-47A/B,1174717.63, ,Unable to receive signal,YES,0.00695850642618, ,Interceptor,N,1318,1,NO, ,114,W MERCHANDISE MART PLZ,119,NO,Bridge,0,Concrete,SUNNY,3x6,0.202374690768,DWM,143.868,209,1902497.05
120.pdf,120.mpg,NO,11.6284,1.4,NO,3.13003038301,0,36.3972453058,Wells St.,39-3-20,Chicago River,0,487964672,3,Dry,-0.08,0,0,120.jpg,0,8.306,FAIR,Active,I-46,1174652.28,MS-54,Unable to receive signal,YES,0, ,Interceptor,S,1319,1,NO, ,0,N WELLS ST,120,YES,Bridge,0,Concrete,SUNNY,3x4,3.13003038301,DWM,0,304,1902255.24
121.pdf,121.mpg,NO,10.0830697797,1.33022028756,NO,2.54638601726,0,25.6753878981,Franklin St.,39-3-20,Chicago River,0,-721635328,3,Invert wet,-2.78,0,0,121.jpg,0,7.58,FAIR,Active,DS-54,1174318.63,MS-54,Unable to receive signal,YES,0, ,Direct,S,1320,1,NO, ,0,W LOWER Wacker DR,121,YES,Bridge,0,Brick,SUNNY,4x5.5,2.54638601726,DWM,0,240,1902215.62
123.pdf,123.mpg,NO,61.29505,1.27054805879,NO,1.13703889618,0,69.6948559931,Randolph St.,39-3-20,South Branch Chicago River,0,-635235328,10 X 9.5,Invert wet,-10.88,0,1.71302576635,123.jpg,0,48.243,FAIR,Active,I-44&45,1173716.48,MS-52,Unable to receive signal,YES,0, ,Interceptor,E,1321,1,NO, ,105,W RANDOLPH ST,123,NO,Bridge,0,Concrete,SUNNY,N/A,1.13703889618,DWM,0,373,1901194.83
124.pdf,124.mpg,NO,62.66,1.3,NO,0.451643791893,0,28.3,Washington St., ,South Branch Chicago River,0,-635235328,3,Dry,-1.48,0,0.271305458027,124.jpg,0,48.2,POOR,Active,I-44,1173668.64,MS-52,Unable to receive signal,YES,0, ,Interceptor,E,1322,1,NO, ,17,W WASHINGTON ST,124,YES,Bridge,0,Brick,SUNNY,3,0.451643791893,DWM,0,383,1900831.3
125.pdf,125.mpg,NO,981.269867423,0.717423154056,NO,0.351812209323,0,345.22272,Washington St.,39-3-24,South Branch Chicago River,0.00290692148534,-635235328,12 X 9,Invert wet,-7.13,9,0.409673233986,125.jpg,0,1367.77,POOR,Active,I-121,1173453.08,MS-61,Unable to receive signal,YES,0.00658005366399, ,Interceptor,W,1323,1,NO, ,402,W WASHINGTON ST,125,NO,Bridge,3.976,Concrete,SUNNY,7x1.5,0.351812209323,DWM,0,407,1900734.05
126.pdf,126.mpg,NO,18.9615415552,1.34155522536,NO,1.43696272434,0,27.2470284109,Madison St.,39-3-20,South Branch Chicago River,0,-635235328,3,Dry,-2.38,0,0,126.jpg,0,14.134,POOR,Active,I-42,1173631.37,MS-52,Unable to receive signal,YES,0, ,Interceptor,E,1324,1,NO, ,0,W MADISON ST,126,YES,Bridge,0,Concrete,SUNNY,3x5,1.43696272434,DWM,0,381,1900288.11
127.pdf,127.mpg,NO,14.8600435378,1.35646221249,NO,3.64589076593,0,54.1780955158,Monroe St.,39-2-17,South Branch Chicago River,0,-635235328,2(3.5 X 4,Dry,-1.38,0,0,127.jpg,0,10.955,POOR,Active,I-41,1173624.79,MS-52,Unable to receive signal,YES,0, ,Interceptor,E,1325,1,NO, ,0,W MONROE ST,127,YES,Bridge,0,Concrete,SUNNY,3x5.5,3.64589076593,DWM,0,383,1899823.14
129.pdf,128.mpg,NO,21.0352777771,1.33888853523,NO,1.42216766209,0,29.9156918177,Adams St.,39-2-17,South Branch Chicago River,0,-635235328,3,Dry,-1.58,0,0.808166175896,128.jpg,0,15.711,FAIR,Active,I-39,1173669.05,MS-52,Unable to receive signal,YES,0, ,Interceptor,E,1326,1,NO, ,17,W ADAMS ST,128,NO,Bridge,0,Concrete,SUNNY,4,1.42216766209,DWM,0,383,1899334.75
129.pdf,N/A,MWRD,59.1208,1.22383042146,NO,2.2288793927,0,131.7731328,Quincy St.,39-2-17,South Branch Chicago River,0,-635235328,9 X 7.2,Invert wet,-10.28,0,4.48234800612,129.jpg,1,48.308,FAIR,Active,DS-52,1173723.05,MS-52,Unable to receive signal,YES,0, ,Direct,E,1327,1,NO, ,265,W QUINCY ST,129,NO,Headwall,0,Metal,SUNNY,11.5x3,2.2288793927,DWM,0,347,1899151.51
130.pdf,130.mpg,NO,30.7999531053,1.29689473684,NO,0.664996922881,0,20.4818740399,Jackson Blvd.,39-2-17,South Branch Chicago River,0,-635235328,3,Dry,-1.88,0,0.551948892321,130.jpg,0,23.749,FAIR,Active,I-38,1173770.95,MS-52,Unable to receive signal,YES,0, ,Interceptor,E,1328,1,NO, ,17,W JACKSON BLVD,130,YES,Bridge,0,Metal,SUNNY,3,0.664996922881,DWM,0,375,1898951.65
131.pdf,131.mpg,NO,44.5919678665,1.0678664655,NO,0.795561357093,0,35.4756464713,Van Buren St.,39-2-17,South Branch Chicago River,0,-635235328,3,Invert wet,-7.38,0,0.381234576839,131.jpg,0,41.758,FAIR,Active,I-35,1173884.57,MS-52,Unable to receive signal,YES,0, ,Interceptor,E,1329,1,NO, ,17,S WACKER DR,131,YES,Bridge,0,Concrete,SUNNY,3.8x5.0,0.795561357093,DWM,0,408,1898395.66
132.pdf,132.mpg,MWRD,159.196133155,1.26657755713,NO,0.477992701064,0,76.0945896858,Harrison St.,39.2.18,South Branch Chicago River,0,-376035328,5,Invert wet,-3.43,0,0.63443752055,132.jpg,1,125.69,FAIR,Active,DS-51,1174080.8331,MS-51, ,NO,0, ,Direct,W,1330,1,YES, ,101,W HARRISON ST,132,NO,Bridge,0,Cement,SUNNY,6.5x6.8,0.477992701064,DWM,0,329,1897569.1628
133.pdf,133.mpg,NO,4.62206,0.59,NO,1.63405300931,0,20.4818740399,Harrison St.,39.2.18,South Branch Chicago River,0,-376035328,3,Invert wet,-2.83,0,1.834950217,133.jpg,0,7.834,EXCELLENT,Active,I-33,1174275.5229,MS-52, ,NO,0, ,Interceptor,E,1331,1,YES, ,23,W HARRISON ST,133,NO,Bridge,0,Metal,SUNNY,3,1.63405300931,DWM,0,317,1897573.3122
134.pdf,134.mpg,MWRD,63.5770859974,1.38599738391,NO,1.00036041291,0,63.6,Polk St.,39.2.18,South Branch Chicago River,0,-376035328,3.42 X 4.5,Invert wet,-2.63,0,1.21112817286,134.jpg,1,45.871,POOR,Active,I-32,1174229.9261,MS-51, ,YES,0, ,Interceptor,W,1332,1,YES, ,77,S SHIELDS AVE,134,YES,Headwall,0,Cement,SUNNY,4,0.398597515961,DWM,0,730,1896733.7755
136.pdf,N/A,MWRD,61.1978,1.34,NO,0.863085002377,0,52.8189033585,Taylor St.,39.2.18,South Branch Chicago River,0,-376035328,4.33 X 5.5,Invert wet,-3.78,0,1.04578922772,136.jpg,1,45.67,FAIR,Active,I-28,1174570.8666,MS-49, ,NO,0, ,Interceptor,W,1333,1,YES, ,64,W TAYLOR ST,136,N/A,Headwall,0,Cement,SUNNY,N/A,0.863085002377,DWM,0,306,1895909.4616
137.pdf,137.mpg,NO,102.5,1,NO,2.12324201427,0,217.632306462,Taylor St., ,South Branch Chicago River,0,-376035328,8,Invert wet,-2.93,0,0,137.jpg,0,102.5,FAIR,Active,DS-50,1174337.32,MS-52, ,YES,0, ,Direct,E,1334,1,YES, ,0,W TAYLOR ST,137,NO,Headwall,0,Cement,SUNNY,5.5x5.8,2.12324201427,DWM,0,306,1895886.41
138.pdf,138.mpg,MWRD,74.62,1.3,NO,1.14044492093,0,85.1,Roosevelt Rd.,39-2-18,South Branch Chicago River,0,-289635328,4.33 X 5.5,Invert wet,-2.88,0,0.911283838113,138.jpg,1,57.4,FAIR,Active,DS-49,1174451.7876,MS-49, ,NO,0, ,Direct,W,1335,1,YES, ,68,W ROOSEVELT RD,138,NO,Bridge,0,Cement,SUNNY,5x4.4,1.14044492093,DWM,0,301,1894970.2358
139.pdf,139.mpg,NO,21.88924,0.61,NO,1.18358376471,0,25.9077490859,Roosevelt Rd.,39-2-18,South Branch Chicago River,0,-289635328,3,Dry,-0.88,0,0,139.jpg,0,35.884,FAIR,Active,DS-48,1174620.1997,MS-45, ,YES,0, ,Direct,E,1336,1,YES, ,0,W ROOSEVELT RD,139,YES,Bridge,0,Clay,SUNNY,3,1.18358376471,DWM,0,248,1895052.8116
140.pdf,140.mpg,MWRD,60.5058,1.45237157945,NO,1.29739628267,0,78.5,Maxwell St.,39-2-19,South Branch Chicago River,0,-289635328,5,Dry,-2.18,0,0,140.jpg,1,41.66,POOR,Active,DS-47,1174461.85,MS-47, ,YES,0, ,Direct,W,1337,1,YES, ,0,S LUMBER ST,140,NO,Headwall,0,Metal,SUNNY,4.5,1.29739628267,DWM,0,1317,1894149.48
141.pdf,141.mpg,NO,70.7734107515,1.4607515119,NO,0.709871114964,0,50.24,14th St.,39-2-19,South Branch Chicago River,0,-289635328,4,Dry,-1.98,0,0,141.jpg,0,48.45,POOR,Active,DS-46,1174476.12,MS-47, ,YES,0, ,Direct,W,1338,1,YES, ,0,S LUMBER ST,141,NO,Headwall,0,Metal,SUNNY,4.5,0.709871114964,DWM,0,1357,1893689.62
143.pdf,143.mpg,MWRD,202.3449453,0.877349826999,NO,0.642428673447,0,129.992194788,14th St.,39-2-19,South Branch Chicago River,0,-289635328,8 X 6.75,Invert wet,-3.38,0,0,143.jpg,1,230.632,FAIR,Active,DS-45,1174673.57,MS-45, ,YES,0, ,Direct,E,1339,1,YES, ,0,S LUMBER ST,143,NO,Headwall,0,Concrete,SUNNY,8x3.9,0.642428673447,DWM,0,1359,1893721.51
144.pdf,144.mpg,NO,16.7819731028,0.648102769088,NO,1.6839497851,0,28.26,15th St.,39.2.19,South Branch Chicago River,0,-289635328,3,Dry,-2.18,0,0,144.jpg,0,25.894,FAIR,Active,DS-44,1174695.07,MS-45, ,NO,0, ,Direct,E,1340,1,YES, ,0,S LUMBER ST,144,NO,Headwall,0,Concrete,SUNNY,3,1.6839497851,DWM,0,1501,1893037.38
145.pdf,145.mpg,NO,77.9596816671,1.30666714156,NO,1.40885222733,0,109.833671159,16th St.,39.2.19,South Branch Chicago River,0,-289635328,4,Invert wet,-3.28,0,0.641357159634,145.jpg,0,59.663,FAIR,Active,DS-43,1174515.67,MS-47, ,YES,0, ,Direct,W,1341,1,YES, ,50,W 16TH ST,145,YES,Open pipe,0,Metal,SUNNY,4,1.40885222733,DWM,0,255,1892375.32
146.pdf,146.mpg,NO,55.0896678896,0.933944798589,YES,0.388323628625,0,21.3926197347,16th St.,39-2-19,South Branch Chicago River,0,-116835328,3,Dry,-1.88,0,0.308587810587,146.jpg,0,58.986,FAIR,Active,I-25,1174719.17,MS-45, ,YES,0,Net,Interceptor,E,1342,1,YES, ,17,W 16TH ST,146,NO,Open pipe,0,Metal,CLOUDY,3,0.388323628625,DWM,0,249,1892384.94
147.pdf,147.mpg,NO,88.1551357073,1.18929274874,NO,0.600445069464,0,52.9323165834,18th St.,39-2-20,South Branch Chicago River,0,-30435328,4,Dry,-2.18,0,0,147.jpg,0,74.124,FAIR,Active,DS-42,1174357.9631,MS-47, ,NO,0, ,Direct,W,1343,1,YES, ,0,W 18TH ST,147,NO,Bridge,0,Metal,SUNNY,4,0.600445069464,DWM,0,315,1891565.6078
148.pdf,148.mpg,NO,14.4857,0.831555683123,NO,2.19805512664,0,31.8403671479,18th St.,39-2-20,South Branch Chicago River,0,-30435328,3,Dry,-1.28,0,0,148.jpg,0,17.42,FAIR,Active,I-24,1174528.0291,MS-41, ,YES,0, ,Interceptor,E,1344,1,YES, ,0,W 18TH ST,148,NO,Bridge,0,Metal,SUNNY,2.5x4,2.19805512664,DWM,0,273,1891484.4931
149.pdf, ,NO,18.1976609003,0.664099733606, ,0.932021051047,0,16.9606030389,19th St.,39-2-20,South Branch Chicago River,0,,3, ,0,0,0, ,0,27.402, ,Active,I-23,1174445.12,MS-41,Could Not Locate Outfall, ,0, ,Interceptor,E,1345,1,NO, ,0,S GROVE ST,149, , ,0, , , ,0.932021051047,DWM,0,1900,1891199.25
150.pdf,150.mpg,NO,9.53889952705,1.10047294959,NO,2.96260589808,0,28.26,Stewart Ave.,39-2-20,South Branch Chicago River,0,-30435328,3,Invert wet,-6.58,0,0,150.jpg,0,8.668,FAIR,Active,I-20H,1173632.4341,MS-41, ,YES,0, ,Interceptor,S,1346,1,YES, ,0,S STEWART AVE,150,NO,Headwall,0,Concrete,CLOUDY,4x8,2.96260589808,DWM,0,2001,1890408.1322
151.pdf,151.mpg,MWRD,313.268135116,0.885115758007,NO,0.70776386502,0.100522986249,221.719866097,Canal St.,39-2-24,South Branch Chicago River,0,-30435328,8,Invert wet,-4.38,2,0,151.jpg,1,353.929,FAIR,Active,DS41,1173445.5394,MS-41, ,YES,0.00565085087687, ,Direct,S,1347,1,YES, ,0,S CANAL ST,151,NO,Headwall,0,Brick,CLOUDY,8,0.70776386502,DWM,35.578,2046,1890245.2952
152.pdf,N/A,NO,30.747475,1.1453706463,NO,0.308685997223,0,9.49131498246,Cermak Rd.,39-2-24,South Branch Chicago River,0,-30435328,2,Dry,-2.28,0,0.325229957907,152.jpg,0,26.845,EXCELLENT,Active,I-123,1172910.44,MS-38a,Unable to receive signal,NO,0, ,Interceptor,W,1348,1,NO, ,10,W CERMAK RD,152,NO,Bridge,0,Concrete,SUNNY,N/A,0.308685997223,DWM,0,523,1889669.43
153.pdf,153.mpg,NO,24.488375,1.29588691327,NO,0.799743448073,0,19.5844174602,Cermak Rd.,39-2-24,South Branch Chicago River,0,-30435328,3,Dry,-2.18,0,0,153.jpg,0,18.897,EXCELLENT,Active,I-21,1173150.5778,MS-41, ,YES,0, ,Interceptor,E,1349,1,YES, ,0,W CERMAK RD,153,NO,Open pipe,0,Concrete,CLOUDY,3,0.799743448073,DWM,0,476,1889732.345
154.pdf,154.mpg,MWRD,812.991022143,0.700714186597,NO,1.70018485614,0.0810286218618,1382.23502403,Normal Ave.,39-1-21,South Branch Chicago River,0.00624444076702,-30435328,16 X 12.8,Invert wet,-14.28,0,0.553511647415,154.jpg,2,1160.232,FAIR,Active,DS-40,1172661.3761,MS-40, ,NO,0, ,Direct,S,1350,1,YES, ,450,S LUMBER ST,154,NO,Battery,7.245,Concrete,CLOUDY,8x14.5,1.70018485614,DWM,94.012,2249,1888824.3002
155.pdf,155.mpg,NO,45.276165424,1.28457599228,NO,2.43732226767,0,110.352606183,Wallace St.,39-1-21,South Branch Chicago River,0,-30435328,6,Invert wet,-6.98,1,0,155.jpg,0,35.246,FAIR,Active,DS-39,1172163.7191,MS-40, ,YES,0.0283720138455, ,Direct,S,1351,1,YES, ,0,S DAN RYAN EXPY,155,NO,Battery,0,Concrete,SUNNY,10x8,2.43732226767,DWM,0,2413,1888421.8947
156.pdf,156.mpg,MWRD,390.161592188,0.806785757212,NO,1.38006461687,0,538.44820824,Union Ave.,39-1-21,South Branch Chicago River,0,-30435328,11.42 X 9.17,Invert wet,-10.78,0,0,156.jpg,2,483.6,FAIR,Active,DS-38,1171763.3011,MS-38A, ,YES,0, ,Direct,N,1352,1,YES, ,0,W STEVENSON EXPY,156,NO,Battery,0,Concrete,CLOUDY,7.5x10,1.38006461687,DWM,0,2328,1888579.7006
157.pdf,157.mpg,NO,91.9305,1.3546283744,NO,0.54649980148,0,50.24,Halsted St.,39-1-21,South Branch Chicago River,0,228764672,4,Dry,-2.08,0,0,157.jpg,0,67.864,POOR,Active,DS-37,1171439.7632,MS-38A, ,YES,0, ,Direct,N,1353,1,YES, ,0,S HALSTED ST,157,YES,Bridge,0,Metal,CLOUDY,5,0.54649980148,DWM,0,2333,1888518.7992
158.pdf,158.mpg,NO,121.213211878,1.21187762448,NO,0.400927032872,0,48.597653383,Halsted St.,39-1-21,South Branch Chicago River,0.0830825526639,228764672,5,Invert wet,-2.48,0,0.247497773017,158.jpg,0,100.021,FAIR,Active,I-20,1171339.2643,MS-40, ,YES,0, ,Interceptor,S,1354,1,YES, ,30,S HALSTED ST,158,YES,Bridge,8.31,Concrete,CLOUDY,5x5,0.400927032872,DWM,0,2405,1888315.6406
159.pdf,159.mpg,NO,119.8688,1.21251062108,NO,0.360394030807,0,43.2,Morgan St.,39-1-25,South Branch Chicago River,0,228764672,4.5,Dry,-1.28,0,0.358725539924,159.jpg,0,98.86,POOR,Active,I-19,1170104.03,MS-38A, ,YES,0, ,Interceptor,N,1355,1,YES, ,43,S MORGAN ST,159,NO,Headwall,0,Metal,CLOUDY,4.5,0.269500143119,DWM,0,2340,1888154.4914
160.pdf,160.mpg,NO,87.3237070257,1.27851286256,NO,0.323623457622,0,28.26,Senour Ave.,39-1-25,South Branch Chicago River,0.0543915901671,228764672,3,Dry,-0.98,0,0,160.jpg,0,68.301,FAIR,Active,I-18,1169813.1431,MS-40, ,NO,0, ,Interceptor,S,1356,1,YES, ,0,S SENOUR AVE,160,NO,Headwall,3.715,Concrete,CLOUDY,3,0.323623457622,DWM,0,2513,1887868.2853
162.pdf,N/A,CITY,35.678339645,1.26518934911,NO,0.169956863847,0,6.06377871333,Throop St.,39-1-29,South Branch Chicago River,0,228764672,2,Dry,-2.48,0,0.224225680892,162.jpg,0,28.2,POOR,Active,Indirect,1168178.1132,MS-35, ,YES,0, Boom,Indirect,N,1357,1,YES,H&H,8,S THROOP ST,162,N/A,Headwall,0,N/A,SUNNY,N/A,0.169956863847,DWM,0,2418,1887926.6891
163.pdf,163.mpg,NO,63.8168453152,1.19843840968,NO,0.442829786719,0,28.26,Throop St.,39-1-29,South Branch Chicago River,0,228764672,3,Dry,-2.28,1,0.26638734516,163.jpg,0,53.25,FAIR,Active,I-14,1168357.86,MS-40, ,YES,0.018779342723, ,Interceptor,S,1358,1,YES, ,17,S THROOP ST,163,NO,Headwall,0,Concrete,SUNNY,3,0.442829786719,DWM,0,2443,1887762.93
165.pdf,165.mpg,NO,129.184764514,1.18548585429,NO,0.38526502808,0,49.7703719281,Loomis St.,39-1-29,South Branch Chicago River,0,315164672,3,Dry,-1.88,0,0.131594465214,165.jpg,0,108.972,FAIR,Active,DS-36,1167488.0137,MS-40, ,YES,0, ,Direct,S,1359,1,YES, ,17,S LOOMIS ST,165,NO,Open pipe,0,Concrete,SUNNY,3,0.38526502808,DWM,0,2610,1886979.9245
166.pdf,166.mpg,MWRD,1002.645,0.45,NO,1.17,0,331.508055488,Laflin St.,39-1-29,South Branch Chicago River,0.00743279026974,228764672,15 X 12,Invert wet,-11.78,7,1.16691351376,166.jpg,2,2228.1,FAIR,Active,DS-35,1166748.53,MS-35, ,YES,0.00314169022934, ,Direct,N,1360,1,YES, ,1170,S LAFLIN ST,166,NO,Battery,16.561,Concrete,SUNNY,4 (9x11),0.330633529802,DWM,0,2550,1886783.23
167.pdf,167.mpg,NO,187.99115,1.14034242213,NO,0.505263146696,0,94.985,Ashland Ave.,39-1-29,South Branch Chicago River,0.115604622244,315164672,5.5,Invert wet,-6.38,0,0,167.jpg,0,164.855,FAIR,Active,DS-34,1166160.1003,MS-35, ,YES,0, ,Direct,N,1361,1,YES, ,0,S ASHLAND AVE,167,NO,Bridge,19.058,Concrete,SUNNY,4x6,0.505263146696,DWM,0,2547,1886884.9212
