Field_Note,Outfall_Vi,Monitor,Adj_Basin_,Runoff_Fac,Graffiti,DWM_cfs_ac,percent_ac,DWM_cfs,Location,ATLAS,Receiving,percent_ro,Insp_Date,Pipe_Size,Saturation,Elevation,Users,MWRD_cfs_a,Outfall_Ph,TG,Basin_Ac,Structural,STATUS,Shaft,Easting,MWRD,Comment,Bank_Erosi,users_acre,Bag,Connection,River_Bank,FID,on_CAWS,GPS,Control,MWRD_cfs,311_Street,NAME,Obstructio,Outfall_St,rock_acres,Pipe_Mater,Weather,Outfall_Si,CDM_cfs_ac,Owner,sand_acres,311_Add,Northing
057.pdf,057.mpg,MWRD,961.6668,0.4,NO,0.7,0.049654204554,673.2,Berteau Ave.,40-2-26,North Branch Chicago River,0,-2104035328,14.5 X 10.5,Invert wet,-5.41,1,0.795493823848,057.jpg,1,2404.167,FAIR,Active,DS-88,1157993.047,MS-88, ,NO,0.000415944483058, ,Direct,W,1260,1,YES, ,765,W BERTEAU AVE,057,NO,Headwall,0,Cement,SUNNY,16x10.8,0.68895093178,DWM,119.377,2613,1927740.577
058.pdf,N/A,NO,184.6928,1.04899753502,NO,0.266144417258,0.13033180739,49.1549576277,Irving Park Rd.,40-2-26,North Branch Chicago River,0,-1844835328,6,Dry,-0.91,1,0.314034981331,058.jpg,0,176.066,FAIR,Active,DS-87,1158094.328,MS-85, ,NO,0.00567968829871, ,Direct,E,1261,1,YES, ,58,W IRVING PARK RD,058,YES,Headwall,0,Cement,SUNNY,7.5x9,0.266144417258,DWM,22.947,2621,1926473.105
059.pdf,059.mpg,NO,136.276225,0.921407876944,NO,0.845778770854,0,115.259538077,Irving Park Rd.,40-2-26,North Branch Chicago River,0,-1844835328,6,Dry,-2.61,0,0.829198196531,059.jpg,0,147.9,POOR,Active,I-77,1157936.6459,MS-88, ,NO,0, ,Interceptor,W,1262,1,YES, ,113,W IRVING PARK RD,059,NO,Headwall,0,Brick,SUNNY,10,0.845778770854,DWM,0,2638,1926470.5413
060.pdf,060.mpg,MWRD,18.8149072883,0.857288344117,NO,0.208674348758,0,3.92618852534,Grace St.,40-2-27,North Branch Chicago River,0,-1844835328,1.5,Dry,5.09,0,0.265746725369,060.jpg,2,21.947,FAIR,Active,DS-86,1157405.794,MS-86, ,NO,0, ,Direct,W,1263,1,YES, ,5,N CALIFORNIA AVE,060,NO,Open pipe,0,Clay,CLOUDY,2,0.208674348758,DWM,0,3751,1924357.082
061.pdf,061.mpg,MWRD,756.781083304,0.695506923356,NO,0.620162894004,0.715494899366,469.327546749,Addison St.,40-2-27,North Branch Chicago River,0,-1844835328,12 X 9.6,Invert wet,-6.91,2,0.514019190731,061.jpg,1,1088.1,EXCELLENT,Active,DS-85,1157694.93,MS-85, ,YES,0.0018380663542, ,Direct,E,1264,1,YES, ,389,W ADDISON ST,061,NO,Battery,0,Cement,SUNNY,12x10,0.620162894004,DWM,778.53,2705,1923734.82
062.pdf,062.mpg,NO,130.897114723,1.11212501888,NO,0.53013254026,0,69.3928199406,Addison St.,40-2-27,North Branch Chicago River,0,-1844835328,5.5,Invert wet,-1.51,0,0.809796306242,062.jpg,0,117.7,FAIR,Active,I-76,1157502.678,MS-86, ,NO,0, ,Interceptor,W,1265,1,YES, ,106,W ADDISON ST,062,NO,Bridge,0,Brick,CLOUDY,5,0.53013254026,DWM,0,2722,1923808.036
063.pdf,063.mpg,MWRD,5631,0.25,NO,0.25,0.00208320014207,1408,Roscoe St.,40-2-28,North Branch Chicago River,0,-1585635328,4(8 X 8,Invert wet,-6.21,4,0.245071923282,063.jpg,1,22524,EXCELLENT,Active,DS-84,1157750.498,MS-84, ,NO,0.000177588350204, ,Direct,W,1266,1,YES, ,1380,W ROSCOE ST,063,NO,Battery,0,Cement,SUNNY,8(8x8),0.130030391558,DWM,46.922,2701,1922384.889
064.pdf,N/A,MWRD,562.148805036,0.780036362047,NO,0.32356658625,0.0268472393745,181.89256981,Belmont Ave,40-2-28,North Branch Chicago River,0,-1585635328,7,Invert wet,-3.21,5,0.352219907302,064.jpg,1,720.67,FAIR,Active,DS-82,1158540.83,MS-82, ,NO,0.00693798826092, ,Direct,W,1267,1,YES, ,198,W BELMONT AVE,064,NO,Headwall,0,Cement,SUNNY,16x9,0.32356658625,DWM,19.348,2555,1921105.53
065.pdf,065.mpg,MWRD,230.953645925,0.943823644974,YES,0.388581281438,0.363485901103,89.7442636863,Western Ave.,40-1-29,North Branch Chicago River,0,-1585635328,6,Dry,-3.71,1,0.445976938738,065.jpg,1,244.7,POOR,Active,DS-81,1159844.303,MS-81, ,NO,0.004086636698, ,Direct,N,1268,1,YES, ,103,N WESTERN AVE,065,YES,Open pipe,0,Cement,CLOUDY,6,0.388581281438,DWM,88.945,3023,1920043.919
066.pdf,N/A,NO,15.96715,1.38736206447,N/A,0.786615018961,0,12.56,Oakley Ave.,40-1-25,North Branch Chicago River,0,-1585635328,2,Invert wet,3.59,1,0.688914427434,066.jpg,0,11.509,FAIR,Active,DS-80,1160532.37,MS-80,"NO GPS, not accessible",N/A,0.0868885220262, ,Direct,E,1269,1,NO, ,11,N OAKLEY AVE,066,YES,Open pipe,0,Metal,SUNNY,2,0.786615018961,DWM,0,2925,1919218.7
