,41.925556,-87.674444
DS-M84,2007-04-26 06:13:00 -0500,2007-04-26 08:54:00 -0500
,41.942778,-87.695556
DS-M84,2007-04-26 22:21:00 -0500,2007-04-26 23:44:00 -0500
,41.942778,-87.695556
DS-M84,2007-04-26 06:12:00 -0500,2007-04-26 09:18:00 -0500
,41.942778,-87.695556
DS-M84,2007-04-26 22:20:00 -0500,2007-04-26 23:50:00 -0500
,41.942778,-87.695556
DS-M88,2007-04-26 05:48:00 -0500,2007-04-26 09:05:00 -0500
,41.9575,-87.694722
DS-N02,2007-04-26 05:00:00 -0500,2007-04-26 10:52:00 -0500
,41.975278,-87.724167
DS-N02,2007-04-26 11:14:00 -0500,2007-04-26 11:41:00 -0500
,41.975278,-87.724167
DS-N02,2007-04-26 20:14:00 -0500,2007-04-26 23:59:00 -0500
,41.975278,-87.724167
DS-N05,2007-04-26 05:08:00 -0500,2007-04-26 10:52:00 -0500
,41.983333,-87.750833
DS-N05,2007-04-26 11:48:00 -0500,2007-04-26 12:42:00 -0500
,41.983333,-87.750833
DS-N08,2007-04-26 05:10:00 -0500,2007-04-26 10:42:00 -0500
,41.989722,-87.765
DS-N05,2007-04-26 16:41:00 -0500,2007-04-26 17:04:00 -0500
,41.983333,-87.750833
DS-N10B,2007-04-26 05:51:00 -0500,2007-04-26 07:51:00 -0500
,42.000278,-87.783889
DS-N10B,2007-04-26 17:07:00 -0500,2007-04-26 17:33:00 -0500
,42.000278,-87.783889
DS-N13R,2007-04-26 05:55:00 -0500,2007-04-26 07:27:00 -0500
,nan,nan
DS-N13R,2007-04-26 16:53:00 -0500,2007-04-26 17:21:00 -0500
,nan,nan
CDS-20,2007-04-27 00:00:00 -0500,2007-04-27 00:48:00 -0500
,41.669722,-87.559722
CDS-20,2007-04-27 00:00:00 -0500,2007-04-27 00:14:00 -0500
,41.669722,-87.559722
DS-M15,2007-04-27 21:18:00 -0500,2007-04-27 22:36:00 -0500
,41.981944,-87.743333
DS-M15,2007-04-27 23:26:00 -0500,2007-04-27 23:29:00 -0500
,41.981944,-87.743333
DS-N08,2007-04-28 20:01:00 -0500,2007-04-28 21:32:00 -0500
,41.989722,-87.765
DS-N03,2007-05-26 04:14:00 -0500,2007-05-26 05:24:00 -0500
,41.980556,-87.740833
DS-M83,2007-06-26 15:18:00 -0500,2007-06-26 15:23:00 -0500
,nan,nan
DS-M84,2007-06-26 15:27:00 -0500,2007-06-26 15:30:00 -0500
,41.942778,-87.695556
DS-M86,2007-06-26 13:33:00 -0500,2007-06-26 14:58:00 -0500
,42.011944,-87.71
DS-N02,2007-06-26 15:21:00 -0500,2007-06-26 15:48:00 -0500
,41.975278,-87.724167
DS-N03,2007-06-26 15:14:00 -0500,2007-06-26 23:59:00 -0500
,41.980556,-87.740833
DS-N10A,2007-06-26 14:58:00 -0500,2007-06-26 21:58:00 -0500
,42.003056,-87.780278
DS-M73,2007-06-27 16:33:00 -0500,2007-06-27 16:37:00 -0500
,41.918333,-87.663611
DS-M15,2007-06-27 16:40:00 -0500,2007-06-27 16:45:00 -0500
,41.981944,-87.743333
DS-M20,2007-06-27 16:50:00 -0500,2007-06-27 16:54:00 -0500
,41.836667,-87.690278
DS-M70,2007-06-27 16:33:00 -0500,2007-06-27 16:36:00 -0500
,41.910833,-87.656667
DS-M76,2007-06-27 13:38:00 -0500,2007-06-27 13:40:00 -0500
,41.925556,-87.674444
DS-M80,2007-06-27 16:32:00 -0500,2007-06-27 16:51:00 -0500
,41.933889,-87.685278
DS-M84,2007-06-27 17:11:00 -0500,2007-06-27 17:14:00 -0500
,41.942778,-87.695556
DS-M84,2007-06-27 17:18:00 -0500,2007-06-27 17:21:00 -0500
,41.942778,-87.695556
DS-M88,2007-06-27 16:31:00 -0500,2007-06-27 16:39:00 -0500
,41.9575,-87.694722
DS-N05,2007-06-27 16:55:00 -0500,2007-06-27 17:01:00 -0500
,41.983333,-87.750833
DS-N08,2007-06-27 16:44:00 -0500,2007-06-27 16:52:00 -0500
,41.989722,-87.765
DS-N10B,2007-06-27 16:25:00 -0500,2007-06-27 16:38:00 -0500
,42.000278,-87.783889
DS-N03,2007-07-04 01:12:00 -0500,2007-07-04 01:48:00 -0500
,41.980556,-87.740833
DS-N03,2007-07-10 17:20:00 -0500,2007-07-10 17:24:00 -0500
,41.980556,-87.740833
