CDS-8,2007-04-25 09:06:00 -0500,2007-04-25 10:58:00 -0500
,nan,nan
CDS-11,2007-04-25 09:06:00 -0500,2007-04-25 10:44:00 -0500
,nan,nan
CDS-18,2007-04-25 08:56:00 -0500,2007-04-25 18:14:00 -0500
,nan,nan
CDS-21,2007-04-25 08:07:00 -0500,2007-04-25 23:59:00 -0500
,nan,nan
CDS-22,2007-04-25 09:10:00 -0500,2007-04-25 10:39:00 -0500
,nan,nan
CDS-4,2007-04-25 07:39:00 -0500,2007-04-25 23:59:00 -0500
,nan,nan
CDS-6,2007-04-25 08:59:00 -0500,2007-04-25 18:15:00 -0500
,nan,nan
CDS15,2007-04-25 08:56:00 -0500,2007-04-25 17:50:00 -0500
,nan,nan
CDS-39,2007-04-25 08:04:00 -0500,2007-04-25 23:59:00 -0500
,nan,nan
CDS-41,2007-04-25 09:30:00 -0500,2007-04-25 23:59:00 -0500
,nan,nan
CDS-45,2007-04-25 04:41:00 -0500,2007-04-25 23:59:00 -0500
,nan,nan
CDS-51,2007-04-25 09:15:00 -0500,2007-04-25 14:14:00 -0500
,nan,nan
C-1,2007-04-25 06:30:00 -0500,2007-04-25 14:45:00 -0500
,nan,nan
RAPS,2007-04-25 06:13:00 -0500,2007-04-25 12:40:00 -0500
,nan,nan
DS-D39,2007-04-25 05:21:00 -0500,2007-04-25 07:34:00 -0500
,nan,nan
DS-M10,2007-04-25 07:28:00 -0500,2007-04-25 09:12:00 -0500
,nan,nan
DS-M104,2007-04-25 06:07:00 -0500,2007-04-25 07:52:00 -0500
,nan,nan
DS-M105W,2007-04-25 07:01:00 -0500,2007-04-25 17:23:00 -0500
,nan,nan
DSM106,2007-04-25 07:08:00 -0500,2007-04-25 09:13:00 -0500
,nan,nan
DSM109,2007-04-25 06:08:00 -0500,2007-04-25 11:35:00 -0500
,nan,nan
DSM114N,2007-04-25 07:21:00 -0500,2007-04-25 23:59:00 -0500
,nan,nan
DS-N11,2007-04-25 03:21:00 -0500,2007-04-25 03:42:00 -0500
,nan,nan
DS-N12,2007-04-25 06:12:00 -0500,2007-04-25 08:40:00 -0500
,nan,nan
DS-N17,2007-04-25 06:12:00 -0500,2007-04-25 07:32:00 -0500
,nan,nan
DS-N18,2007-04-25 06:09:00 -0500,2007-04-25 07:50:00 -0500
,nan,nan
WCPS,2007-04-25 05:00:00 -0500,2007-04-25 12:15:00 -0500
,nan,nan
CDS-7,2007-04-26 04:19:00 -0500,2007-04-26 15:40:00 -0500
,nan,nan
CDS-21,2007-04-26 00:00:00 -0500,2007-04-26 23:59:00 -0500
,nan,nan
CDS-4,2007-04-26 00:00:00 -0500,2007-04-26 00:00:59 -0500
,nan,nan
CDS-39,2007-04-26 00:00:00 -0500,2007-04-26 18:07:00 -0500
,nan,nan
CDS-41,2007-04-26 00:00:00 -0500,2007-04-26 19:05:00 -0500
,nan,nan
CDS-45,2007-04-26 00:00:00 -0500,2007-04-26 03:31:00 -0500
,nan,nan
C-1,2007-04-26 04:25:00 -0500,2007-04-26 18:28:00 -0500
,nan,nan
CDS-18,2007-04-26 04:30:00 -0500,2007-04-26 23:59:00 -0500
,nan,nan
NBPS,2007-04-26 07:49:00 -0500,2007-04-26 10:40:00 -0500
,nan,nan
002 Lemont WRP,2007-04-26 18:13:00 -0500,2007-04-26 23:00:00 -0500
,nan,nan
CDS-8,2007-04-26 14:27:00 -0500,2007-04-26 18:22:00 -0500
,nan,nan
CDS-22,2007-04-26 14:43:00 -0500,2007-04-26 15:22:00 -0500
,nan,nan
CDS-23,2007-04-26 14:46:00 -0500,2007-04-26 15:28:00 -0500
,nan,nan
CDS-6,2007-04-26 14:37:00 -0500,2007-04-26 19:27:00 -0500
,nan,nan
CDS15,2007-04-26 14:48:00 -0500,2007-04-26 14:54:00 -0500
,nan,nan
CDS-43,2007-04-26 14:26:00 -0500,2007-04-26 15:07:00 -0500
,nan,nan
CDS-51,2007-04-26 04:34:00 -0500,2007-04-26 07:25:00 -0500
,nan,nan
CDS15,2007-04-26 04:35:00 -0500,2007-04-26 04:35:59 -0500
,nan,nan
CDS-42,2007-04-26 02:45:00 -0500,2007-04-26 03:20:00 -0500
,nan,nan
WCPS,2007-04-26 21:15:00 -0500,2007-04-26 22:30:00 -0500
,nan,nan
RAPS,2007-04-26 22:44:00 -0500,2007-04-26 23:59:00 -0500
,nan,nan
DS-M03,2007-04-26 05:28:00 -0500,2007-04-26 09:30:00 -0500
,nan,nan
DS-M03,2007-04-26 14:55:00 -0500,2007-04-26 20:53:00 -0500
,nan,nan
DS-M03,2007-04-26 21:13:00 -0500,2007-04-26 23:59:00 -0500
,nan,nan
DS-M11,2007-04-26 06:43:00 -0500,2007-04-26 12:08:00 -0500
,nan,nan
DS-M11,2007-04-26 15:06:00 -0500,2007-04-26 23:59:00 -0500
,nan,nan
DS-M101,2007-04-26 16:44:00 -0500,2007-04-26 17:05:00 -0500
,nan,nan
DS-M104,2007-04-26 06:46:00 -0500,2007-04-26 08:02:00 -0500
,nan,nan
DS-M105W,2007-04-26 06:26:00 -0500,2007-04-26 15:57:00 -0500
,nan,nan
DSM109,2007-04-26 06:15:00 -0500,2007-04-26 10:26:00 -0500
,nan,nan
DSM109,2007-04-26 17:14:00 -0500,2007-04-26 18:36:00 -0500
,nan,nan
DSM114N,2007-04-26 15:28:00 -0500,2007-04-26 15:44:00 -0500
,nan,nan
DSM114N,2007-04-26 15:54:00 -0500,2007-04-26 23:59:00 -0500
,nan,nan
DS-N12,2007-04-26 06:37:00 -0500,2007-04-26 07:35:00 -0500
,nan,nan
DS-N18,2007-04-26 06:27:00 -0500,2007-04-26 06:40:00 -0500
,nan,nan
DS-N18,2007-04-26 06:46:00 -0500,2007-04-26 07:15:00 -0500
,nan,nan
DS-N18,2007-04-26 17:11:00 -0500,2007-04-26 17:16:00 -0500
,nan,nan
CDS-18,2007-04-27 00:00:00 -0500,2007-04-27 00:40:00 -0500
,nan,nan
CDS-21,2007-04-27 00:00:00 -0500,2007-04-27 23:59:00 -0500
,nan,nan
CDS-4,2007-04-27 00:00:00 -0500,2007-04-27 23:59:00 -0500
,nan,nan
CDS15,2007-04-27 00:00:00 -0500,2007-04-27 00:28:00 -0500
,nan,nan
DS-M03,2007-04-27 01:30:00 -0500,2007-04-27 01:35:00 -0500
,nan,nan
DS-M03,2007-04-27 01:45:00 -0500,2007-04-27 01:47:00 -0500
,nan,nan
RAPS,2007-04-27 00:01:00 -0500,2007-04-27 04:10:00 -0500
,nan,nan
CDS-21,2007-04-28 00:00:00 -0500,2007-04-28 23:59:00 -0500
,nan,nan
CDS-4,2007-04-28 00:00:00 -0500,2007-04-28 04:30:00 -0500
,nan,nan
DSM114N,2007-04-28 10:56:00 -0500,2007-04-28 10:59:00 -0500
,nan,nan
DSM114N,2007-04-28 14:04:00 -0500,2007-04-28 15:47:00 -0500
,nan,nan
DSM114N,2007-04-28 15:54:00 -0500,2007-04-28 16:59:00 -0500
,nan,nan
DSM114N,2007-04-28 17:18:00 -0500,2007-04-28 18:23:00 -0500
,nan,nan
DSM114N,2007-04-28 12:38:00 -0500,2007-04-28 13:15:00 -0500
,nan,nan
CDS-21,2007-04-29 00:00:00 -0500,2007-04-29 00:00:59 -0500
,nan,nan
DS-M105W,2007-04-30 12:46:00 -0500,2007-04-30 12:48:00 -0500
