collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),so4(qual_data),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),alk(qual_data),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),chloroph(qual_data),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),ba_sol(qual_code),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),ca_sol(qual_code),cr_tot(mg/l),cr_sol(mg/l),cr_sol(qual_code),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),fe_sol(qual_code),pb_tot(mg/l),pb_sol(mg/l),pb_sol(qual_code),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),mn_sol(qual_code),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),ni_sol(qual_code),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),zn_sol(qual_code),hg_ll(ng/l),hg_ll(qual_code),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l),xylenes_(total)(ug/l)
2011-07-18 00:00:00,ww_92,3.3,21.3,7.14,3.67,0.48,1.37,0.79,69.46,,564.0,9.0,2.0,6.43,134.0,,110.0,0.6,4.7,<5,<0.005,<0.0010,<5,<1.40,2.9,30.0,,5.3,,<0.05,<0.02,0.0217,0.0187,,0.178,0.17,<0.001,<0.001,53.04,48.41,,<0.01,<0.003,,<10,<0.02,<0.005,0.25,<0.2,,<0.03,<0.03,,18.41,17.18,0.0328,0.0079,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,0.0015,<0.06,<0.02,,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-07-18 00:00:00,ww_42,3.9,32.7,7.01,5.177,1.22,2.42,0.59,61.55,,560.0,6.0,3.0,3.84,134.0,,115.0,0.74,5.0,<5,<0.005,0.0011,<5,,,450.0,,15.6,,<0.05,<0.02,0.0194,0.0164,,0.193,0.19,<0.001,<0.001,54.17,48.13,,<0.01,<0.003,,<10,<0.02,<0.005,<0.2,<0.2,,<0.03,<0.03,,18.26,16.55,0.0326,0.0269,,<0.2,,<0.008,0.008,,<0.005,<0.03,<0.004,0.0014,<0.06,<0.02,,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-07-18 00:00:00,ww_48,4.6,30.1,7.29,4.244,0.78,1.67,0.69,60.14,,524.0,11.0,3.0,7.21,131.0,,105.0,0.62,4.5,<5,<0.005,0.001,<5,,,140.0,,12.6,,<0.05,<0.02,0.0221,0.0176,,0.172,0.16,<0.001,<0.001,54.24,47.07,,<0.01,<0.003,,<10,<0.02,<0.005,0.38,<0.2,,<0.03,<0.03,,18.64,16.52,0.0369,0.02,,<0.2,,<0.008,<0.008,,0.005,<0.03,<0.004,0.0014,<0.06,<0.02,,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-07-25 00:00:00,ww_49,6.8,23.0,7.23,0.258,<0.10,<0.50,<0.10,22.39,,242.0,3.0,0.0,2.78,101.0,,25.0,0.13,2.6,<5,<0.005,<0.0010,,<1.30,<1.50,<10,<10,1.4,a,<0.05,<0.02,0.0212,0.0201,a,<0.06,<0.07,<0.001,<0.001,34.31,31.93,a,<0.01,<0.003,,<10,<0.02,<0.005,<0.2,<0.2,,<0.03,<0.03,,12.06,11.29,0.0082,<0.003,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,<0.00,<0.06,<0.02,,0.7,as,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-07-25 00:00:00,ww_50,7.2,19.8,7.65,<0.04,0.04,0.5,<0.10,44.54,,368.0,3.0,2.0,2.81,69.0,,89.0,0.38,5.3,<5,<0.005,<0.0010,,<1.20,3.2,130.0,99.0,3.1,a,<0.05,<0.02,0.0312,0.0297,a,0.245,0.25,<0.001,<0.001,26.39,25.68,a,<0.01,<0.003,,<10,<0.02,<0.005,<0.2,<0.2,,<0.03,<0.03,,11.55,11.16,0.0648,0.015,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,<0.001,<0.06,<0.02,,<0.5,as,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-07-25 00:00:00,ww_86,2.1,25.1,7.57,<0.04,2.45,4.46,1.73,29.05,,310.0,24.0,15.0,13.2,110.0,,49.0,0.31,9.8,<5,0.006,<0.0010,<5,,,440000.0,270000.0,52.2,a,<0.05,<0.02,0.0312,0.0215,a,0.23,0.08,<0.001,<0.001,40.53,33.66,a,<0.01,<0.003,,<10,<0.02,<0.005,1.69,<0.2,,<0.03,<0.03,,11.19,11.61,0.2586,0.0513,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,0.001,<0.06,<0.02,,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-07-25 00:00:00,ww_55,6.9,26.6,7.71,0.278,<0.10,<0.50,<0.10,27.8,,290.0,3.0,0.0,3.44,103.0,,41.0,0.18,2.4,<5,<0.005,<0.0010,,<1.20,<1.70,40.0,40.0,4.6,a,<0.05,<0.02,0.0243,0.0234,a,<0.06,<0.07,<0.001,<0.001,34.82,33.78,a,<0.01,<0.003,,<10,<0.02,<0.005,<0.2,<0.2,,<0.03,<0.03,,12.45,12.09,0.0157,0.0036,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,<0.00,<0.06,<0.02,,<0.5,as,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-07-25 00:00:00,ww_56,4.1,26.2,6.81,1.387,0.22,0.58,0.55,35.67,,366.0,12.0,1.0,11.1,110.0,,62.0,0.26,3.5,<5,<0.005,0.0016,<5,<1.30,2.0,4700.0,1500.0,6.1,a,<0.05,<0.02,0.0248,0.0206,a,0.075,0.08,<0.001,<0.001,38.25,35.65,a,<0.01,<0.003,,<10,<0.02,<0.005,0.45,<0.2,,<0.03,<0.03,,13.4,12.47,0.0402,0.0161,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,0.001,<0.06,<0.02,,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-07-25 00:00:00,ww_76,4.0,24.7,7.16,3.822,0.44,1.19,1.24,52.11,,522.0,10.0,4.0,8.24,130.0,,101.0,0.43,5.1,<5,0.005,0.0012,<5,<1.70,2.3,28000.0,8800.0,5.3,a,<0.05,<0.02,0.0213,0.0192,a,0.13,0.14,<0.001,<0.001,51.7,49.32,a,<0.01,<0.003,,<10,<0.02,<0.005,0.31,<0.2,,<0.03,<0.03,,16.56,15.18,0.0476,0.0378,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-07-25 00:00:00,ww_57,4.0,23.5,7.38,1.259,0.21,1.26,0.6,55.04,,378.0,213.0,29.0,137.0,89.0,,59.0,0.47,5.8,<5,<0.005,<0.0010,,4.6,8.8,8200.0,,16.5,a,<0.05,<0.02,0.0472,0.0183,a,0.104,0.11,<0.001,<0.001,36.57,30.2,a,<0.01,<0.003,,<10,<0.02,<0.005,7.12,<0.2,,<0.03,<0.03,,14.67,10.65,0.192,0.0197,,<0.2,,0.0096,<0.008,,<0.005,<0.03,<0.004,<0.001,<0.06,<0.02,,3.2,as,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-07-25 00:00:00,ww_58,4.7,24.5,7.14,1.671,0.32,0.97,0.57,53.77,,380.0,56.0,8.0,60.1,93.0,,64.0,0.33,5.0,<5,<0.005,0.0011,<5,,,7000.0,,9.8,a,<0.05,<0.02,0.0287,0.0183,a,0.094,0.1,<0.001,<0.001,34.83,33.46,a,<0.01,<0.003,,<10,<0.02,<0.005,2.78,<0.2,,<0.03,<0.03,,12.15,11.15,0.087,0.0417,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,<0.00,<0.06,<0.02,,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-07-25 00:00:00,ww_54,7.7,23.0,6.82,3.656,0.21,0.97,0.61,231.97,,780.0,59.0,7.0,68.6,131.0,,77.0,0.34,6.0,<5,<0.005,0.0011,,2.6,5.1,6000.0,,4.5,a,<0.05,<0.02,0.0341,0.0237,a,0.131,0.14,<0.001,<0.001,48.94,46.22,a,<0.01,<0.003,,<10,<0.02,<0.005,3.02,<0.2,,<0.03,<0.03,,17.75,16.22,0.1049,0.0368,,<0.2,,0.0089,<0.008,,<0.005,<0.03,<0.004,0.0012,<0.06,<0.02,,0.54,as,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-07-25 00:00:00,ww_97,6.5,24.0,7.18,1.357,0.2,0.99,0.43,61.81,,370.0,153.0,17.0,107.0,90.0,,55.0,0.25,6.0,<5,<0.005,<0.0010,,<1.50,4.5,10000.0,,10.3,a,<0.05,<0.02,0.0375,0.0199,a,0.088,0.09,<0.001,<0.001,35.79,32.14,a,<0.01,<0.003,,<10,<0.02,<0.005,6.16,<0.2,,<0.03,<0.03,,14.26,12.07,0.1515,0.019,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,<0.001,<0.06,<0.02,,<0.5,as,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-07-25 00:00:00,ww_52,6.6,24.1,7.49,1.964,0.25,1.4,0.61,32.23,,304.0,282.0,33.0,273.0,99.0,,44.0,0.76,6.9,<5,0.006,<0.0010,,2.8,5.3,15000.0,,18.3,a,<0.05,<0.02,0.0567,0.0188,a,0.083,0.08,<0.001,<0.001,39.03,31.09,a,<0.01,<0.003,x,<10,<0.02,<0.005,10.12,<0.2,x,<0.03,<0.03,x,18.37,12.92,0.2316,0.0204,x,<0.2,,0.0118,<0.008,x,<0.005,<0.03,<0.004,<0.001,<0.06,<0.02,x,<0.5,as,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-07-25 00:00:00,ww_59,4.8,25.1,7.22,2.198,0.42,1.0,0.77,48.29,,426.0,25.0,4.0,22.5,101.0,,79.0,0.39,4.7,<5,0.005,<0.0010,<5,,,10000.0,,4.9,a,<0.05,<0.02,0.0243,0.0186,a,0.101,0.11,<0.001,<0.001,38.16,38.62,a,<0.01,<0.003,,<10,<0.02,<0.005,0.96,<0.2,,<0.03,<0.03,,13.1,12.92,0.0617,0.0483,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,0.001,<0.06,<0.02,,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-07-25 00:00:00,ww_43,6.0,25.4,6.97,2.783,0.61,1.33,1.06,47.8,,430.0,16.0,4.0,14.1,99.0,,74.0,0.35,5.2,<5,0.005,<0.0010,<5,,,5700.0,,8.1,a,<0.05,<0.02,0.0224,0.0182,a,0.097,0.11,<0.001,<0.001,38.44,37.73,a,<0.01,<0.003,,<10,<0.02,<0.005,0.67,<0.2,,<0.03,<0.03,,13.22,12.76,0.0638,0.0507,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,0.001,<0.06,<0.02,,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-07-25 00:00:00,ww_92,2.0,27.1,7.07,2.951,0.82,1.45,0.62,59.08,,484.0,6.0,2.0,4.92,104.0,,109.0,0.4,4.5,<5,0.005,0.0012,<5,,,10000.0,,7.4,a,<0.05,<0.02,0.0214,0.0207,a,0.118,0.13,<0.001,<0.001,39.83,41.26,a,<0.01,<0.003,,<10,<0.02,<0.005,0.27,<0.2,,<0.03,<0.03,,14.17,14.46,0.0663,0.0453,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,0.0011,<0.06,<0.02,,,,,,,,,
