location,segment,date,starttime,endtime,duration
DS-M30,7,2016-08-12,03:20,03:56,36
"DS-M27,DS-M28,& DS-M29 (RAPS)",7,2016-08-12,06:35,10:40,965
DS-N10A,4,2016-08-12,06:53,09:11,137
DS-N13R,4,2016-08-12,07:05,10:26,200
DS-N10B,4,2016-08-12,07:06,08:11,64
DS-N16,4,2016-08-12,07:15,07:42,27
DS-N08,4,2016-08-12,07:16,08:41,84
DS-N02,4,2016-08-12,07:24,08:12,48
DS-N12,4,2016-08-12,07:24,07:34,9
DS-D05,13,2016-08-12,07:24,07:50,25
DS-M104W,1,2016-08-12,07:25,09:03,98
DS-N05,4,2016-08-12,07:27,08:43,75
DS-N17,4,2016-08-12,07:30,07:38,7
DS-M30,7,2016-08-12,07:46,10:27,161
DS-M114N,31,2016-08-12,07:51,08:10,19
DS-M47,6,2016-08-12,08:00,08:59,59
DS-M13,8,2016-08-12,08:10,09:48,98
DS-M90 & DS-M91 (NBPS),3,2016-08-12,08:29,11:26,177
DS-M03,9,2016-08-12,09:15,02:18,302
DS-M104W,1,2016-08-12,09:26,10:28,61
TG-NASH,9,2016-08-12,09:28,09:34,6
DS-M79,3,2016-08-12,09:31,10:01,29
TG-NASH,9,2016-08-12,09:38,09:41,3
DS-M08,9,2016-08-12,09:41,10:15,33
DS-M79,3,2016-08-12,10:02,10:06,4
DS-M19,8,2016-08-12,10:23,11:01,37
DS-M08,9,2016-08-12,10:35,10:37,2
"DS-D47,50,51 & DS-13A-1",16,2016-08-12,11:00,11:07,7
DS-M30,7,2016-08-12,11:14,01:47,153
DS-M47,6,2016-08-12,11:17,12:52,95
TG-NASH,9,2016-08-12,11:17,11:19,1
TG-M22,8,2016-08-12,11:19,11:20,0
TG-NASH,9,2016-08-12,11:21,11:23,2
DS-M13,8,2016-08-12,11:22,01:19,117
TG-NASH,9,2016-08-12,11:26,11:28,2
DS-M08,9,2016-08-12,11:27,01:22,114
DS-M15,8,2016-08-12,11:39,02:14,154
DS-M19,8,2016-08-12,11:41,12:35,53
DS-M61A,3,2016-08-12,11:47,01:38,111
DS-M30,7,2016-08-12,11:49,12:32,42
DS-M66,3,2016-08-12,11:51,01:41,109
DS-M66,3,2016-08-12,11:52,01:38,105
DS-M70,3,2016-08-12,11:53,12:00,6
DS-M73,3,2016-08-12,11:54,01:12,78
DS-M79,3,2016-08-12,11:55,01:48,112
DS-M66,3,2016-08-13,01:38,01:40,1
DS-M61A,3,2016-08-13,01:40,01:45,4
DS-M66,3,2016-08-13,01:42,01:43,1
DS-M70,3,2016-08-13,12:00,12:08,8
DS-M38,6,2016-08-13,12:05,12:59,54
DS-M38,6,2016-08-13,12:05,12:50,44
DS-M13,8,2016-08-13,12:08,01:14,65
DS-M84,3,2016-08-13,12:12,01:03,50
DS-M84,3,2016-08-13,12:13,01:04,50
DS-M79,3,2016-08-13,12:24,02:03,99
DS-M90 & DS-M91 (NBPS),3,2016-08-13,12:32,02:31,119
DS-M38,6,2016-08-13,12:50,12:52,1
"DS-D19,23",14,2016-08-15,07:57,08:24,26
DS-D49,15,2016-08-15,07:57,08:33,36
DS-N13R,4,2016-08-18,05:46,06:26,40
DS-D05,13,2016-08-18,06:34,07:20,45
DS-N13R,4,2016-08-18,06:37,08:38,121
DS-N10A,4,2016-08-18,06:55,08:07,71
DS-D34-AI,23,2016-08-18,07:00,08:05,65
DS-M30,7,2016-08-18,07:00,09:28,148
DS-D11,14,2016-08-18,07:02,08:06,64
DS-M47,6,2016-08-18,07:03,08:29,86
DS-N08,4,2016-08-18,07:04,08:05,61
DS-M114N,31,2016-08-18,07:08,08:35,87
"DS-D39,42,46",16,2016-08-18,07:52,07:58,5
DS-M30,7,2016-08-19,10:18,11:50,92
DS-M47,6,2016-08-19,10:19,11:19,60
DS-N13R,4,2016-08-19,10:28,10:53,24
DS-N13R,4,2016-08-19,12:03,12:26,23
TG-I28 & I29,6,2016-08-20,01:57,05:59,242
DS-M106E,1,2016-08-20,02:03,02:07,4
DS-M106E,1,2016-08-20,02:03,02:07,4
DS-M106E,1,2016-08-20,02:08,02:12,4
DS-N13R,4,2016-08-20,08:31,10:42,130
DS-N07,4,2016-08-20,08:34,09:35,61
DS-N10A,4,2016-08-20,08:35,10:37,122
DS-M30,7,2016-08-20,08:36,10:53,136
DS-D34-AI,23,2016-08-20,08:40,11:30,170
DS-M47,6,2016-08-20,08:41,09:31,50
DS-N08,4,2016-08-20,08:42,10:23,100
DS-M104E,1,2016-08-20,08:49,08:50,1
DS-D11,14,2016-08-20,08:52,09:57,64
DS-M114N,31,2016-08-20,09:00,10:05,65
CDS-45,20,2016-08-20,09:13,12:39,206
DS-M90 & DS-M91 (NBPS),3,2016-08-20,09:14,03:00,346
"DS-M27,DS-M28,& DS-M29 (RAPS)",7,2016-08-20,09:30,08:25,655
DS-M79,3,2016-08-20,09:32,12:10,158
