Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
"DS-D37,38",30th St. and Forest Ave. (W),TG2,Salt Cr,Stickney,8/30/2016 7:32:29 AM,8/30/2016 7:33:13 AM,:00:00:44
"DS-D39,42,46",Brookfield Ave (SE wing wall of the bridge) (E),TG3,Salt Cr,Stickney,8/30/2016 7:28:53 AM,8/30/2016 7:30:05 AM,:00:01:12
"DS-D39,42,46",South of Brookfield Ave (Southwest wing wall of the bridge) (W),TG2,Salt Cr,Stickney,8/18/2016 7:52:57 AM,8/18/2016 7:58:17 AM,:00:05:20
DS-D41,Ogden Ave (Approx. 50' north of the bridge) (E),TG1,DesPlaines Lower,Stickney,10/1/2016 4:30:53 PM,10/1/2016 5:59:01 PM,:01:28:08
DS-D41,Ogden Ave (Approx. 50' north of the bridge) (E),TG1,DesPlaines Lower,Stickney,10/1/2016 12:06:25 PM,10/1/2016 12:31:13 PM,:00:24:48
DS-D41,Ogden Ave (Approx. 50' north of the bridge) (E),TG1,DesPlaines Lower,Stickney,10/1/2016 9:35:57 AM,10/1/2016 10:16:57 AM,:00:41:00
DS-D41,Ogden Ave (Approx. 50' north of the bridge) (E),TG1,DesPlaines Lower,Stickney,8/30/2016 7:43:53 AM,8/30/2016 8:58:45 AM,:01:14:52
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,10/1/2016 4:26:17 PM,10/1/2016 6:01:17 PM,:01:35:00
DS-D43,Near Burling Rd (Library),TG1,DesPlaines Lower,Stickney,8/30/2016 7:37:09 AM,8/30/2016 9:10:25 AM,:01:33:16
"DS-D44,45",Olmstead Rd (N),TG2,DesPlaines Lower,Stickney,10/1/2016 4:10:33 PM,10/1/2016 6:12:49 PM,:02:02:16
"DS-D44,45",Olmstead Rd (N),TG2,DesPlaines Lower,Stickney,10/1/2016 12:27:17 PM,10/1/2016 12:51:21 PM,:00:24:04
"DS-D44,45",Near Junction of Gage & Riverside Rd (N),TG3,DesPlaines Lower,Stickney,8/30/2016 7:33:45 AM,8/30/2016 8:17:25 AM,:00:43:40
"DS-D44,45",Olmstead Rd (N),TG2,DesPlaines Lower,Stickney,8/30/2016 7:29:01 AM,8/30/2016 2:15:09 PM,:06:46:08
"DS-D44,45",Blackhawk Rd ext. (E),TG1,DesPlaines Lower,Stickney,8/29/2016 3:20:01 PM,8/29/2016 7:23:21 PM,:04:03:20
"DS-D44,45",Olmstead Rd (N),TG2,DesPlaines Lower,Stickney,8/29/2016 3:20:01 PM,8/29/2016 7:34:17 PM,:04:14:16
"DS-D47,50,51 & DS-13A-1",Konrad Ave and Patricia Dr. (S),TG3,Salt Cr,Stickney,8/30/2016 7:49:21 AM,8/30/2016 7:51:17 AM,:00:01:56
"DS-D47,50,51 & DS-13A-1",Konrad Ave and Patricia Dr. (S),TG3,Salt Cr,Stickney,8/30/2016 7:39:25 AM,8/30/2016 7:47:49 AM,:00:08:24
"DS-D47,50,51",Southview Ave and Custer (W),TG2,Salt Cr,Stickney,8/30/2016 7:29:57 AM,8/30/2016 8:26:45 AM,:00:56:48
"DS-D47,50,51 & DS-13A-1",Konrad Ave and Patricia Dr. (S),TG3,Salt Cr,Stickney,8/12/2016 11:00:49 AM,8/12/2016 11:07:49 AM,:00:07:00
DS-D48,40th St. ext. (40th St. & Haas) (E),TG1,DesPlaines Lower,Stickney,10/1/2016 4:11:45 PM,10/1/2016 7:31:49 PM,:03:20:04
DS-D48,40th St. ext. (40th St. & Haas) (E),TG1,DesPlaines Lower,Stickney,10/1/2016 1:47:57 PM,10/1/2016 3:39:01 PM,:01:51:04
DS-D48,40th St. ext. (40th St. & Haas) (E),TG1,DesPlaines Lower,Stickney,10/1/2016 11:45:05 AM,10/1/2016 12:41:01 PM,:00:55:56
