,ag_sol(mg/l),ag_tot(mg/l),alk(mg/l),as_sol(mg/l),as_tot(mg/l),b_sol(mg/l),b_tot(mg/l),ba_sol(mg/l),ba_tot(mg/l),benzene(ug/l),ca_sol(mg/l),ca_tot(mg/l),cd_sol(mg/l),cd_tot(mg/l),chloroph(yll_a),cl(mg/l),cn(mg/l),cn_wad(mg/l),collect(date),cr6(ug/l),cr_sol(mg/l),cr_tot(mg/l),cu_sol(mg/l),cu_tot(mg/l),do(mg/l),e_coli(cts/100ml),ethylbenzene(ug/l),f(mg/l),fe_sol(mg/l),fe_tot(mg/l),fec_col(cts/100ml),fog(mg/l),hg_ll(ng/l),hg_sol(ug/l),hg_tot(ug/l),m__and/or_p_xylenes(ug/l),mg_sol(mg/l),mg_tot(mg/l),mn_sol(mg/l),mn_tot(mg/l),nh3_n(mg/l),ni_sol(mg/l),ni_tot(mg/l),no2+no3(mg/l),o_xylene(ug/l),pb_sol(mg/l),pb_tot(mg/l),ph(),phenol(ug/l),radiochem(alpha),radiochem(beta),sampling(point),se_sol(mg/l),se_tot(mg/l),so4(mg/l),ss(mg/l),tds(mg/l),temp(deg_c),tkn(mg/l),toc(mg/l),toluene(ug/l),tot_p(mg/l),turb(ntu),vss(mg/l),xylenes(total)(ug/l),xylenes_(total)(ug/l),zn_sol(mg/l),zn_tot(mg/l),location_description,north_latitude,west_longitude
10,0.0,0.0,196.0,0.0,0.0,0.138,0.13699999999999998,0.0504,0.0552,,86.09,90.31,0.0019,0.0,28.8,289.7,0.0,0.0007,2006-05-01 00:00:00,0.0,0.0008,0.001,0.0,0.0,2.1,,,0.22,0.018000000000000002,1.84,350.0,,3.6,,0.0,,41.297,43.03,0.0495,0.1786,0.12,0.0,0.003,0.245,,0.008,0.009000000000000001,6.77,0.0,4.11,5.18,ww_12,0.0,0.0,145.57,45.0,930.0,15.7,1.43,6.8,,0.09,32.6,15.0,,,0.003,0.011000000000000001,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
11,0.0,0.0,167.0,0.0,0.0,0.10300000000000001,0.128,0.0359,0.045,,52.64,60.64,0.0,0.0,15.1,206.0,0.0,0.0,2006-07-05 00:00:00,0.0,0.0007,0.0014,0.0,0.003,6.5,30.0,,0.18,0.019,0.72,130.0,,1.46,,0.0,,24.91,28.06,0.0404,0.1191,0.1,*0.0000,0.003,0.17800000000000002,,0.008,0.006,7.7,0.0,<5.49,6.04,ww_12,0.0,0.0,72.83,39.0,620.0,23.5,1.19,6.8,,0.12,32.0,9.0,,,0.008,0.018000000000000002,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
12,0.0,0.0,125.0,0.0,0.0,0.084,0.091,0.0305,0.0367,,41.49,40.95,0.0,0.0,19.6,134.1,0.0,0.0,2006-09-05 00:00:00,0.0,0.0,0.0014,0.0,0.0,6.7,,,0.18,0.03,1.14,3000.0,,3.09,,0.0,,17.590999999999998,17.29,0.019,0.0835,0.11,0.0,0.002,0.327,,0.0036,0.003,7.4,0.0,<2.95,6.66,ww_12,0.0,0.0,45.87,21.0,458.0,22.3,1.28,5.3,,0.17,28.7,4.0,,,0.0072,0.011000000000000001,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
13,0.0,0.0,164.0,0.0,0.0,0.10800000000000001,0.135,0.0398,0.0461,<2,58.52,60.22,0.0,0.0,6.7,170.0,0.0,0.0005,2006-10-02 00:00:00,0.0,0.0,0.0011,0.0,0.0,8.6,380.0,<2,0.19,0.019,0.93,390.0,,0.985,,0.0,<3,25.746,26.37,0.0377,0.1034,0.26,0.0,0.003,0.156,<2,0.002,0.0,7.99,0.0,7.3,7.71,ww_12,0.01,0.0,75.12,13.0,592.0,17.5,1.06,6.4,<2,0.17,11.7,4.0,,<2,0.01,0.012,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
14,0.0,0.0,235.0,0.0,0.0,0.124,0.126,0.0441,0.0491,,89.07,91.44,0.0,0.0,27.5,186.9,0.0,0.0004,2006-11-06 00:00:00,3.0,0.0,0.0012,0.0,0.0,12.2,,,0.18,0.040999999999999995,0.64,20.0,,4.51,,0.0,,38.531,39.24,0.0315,0.0657,0.03,0.0,0.0,0.184,,0.0,0.003,8.2,0.0,<5.33,4.74,ww_12,0.0,0.0,119.43,9.0,774.0,8.0,1.02,7.4,,0.09,10.2,0.0,,,0.009000000000000001,0.035,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
15,0.0,0.0,232.0,0.0,0.0,0.10300000000000001,0.10400000000000001,0.0398,0.0435,<2,81.58,80.83,0.0005,0.0,9.2,200.1,0.0,0.0,2006-12-04 00:00:00,0.0,0.0,0.0,0.0,0.002,9.7,,<2,0.24,0.039,1.03,650.0,,2.51,,0.09,<3,36.479,35.16,0.054000000000000006,0.08199999999999999,0.08,0.005,0.002,0.8009999999999999,<2,0.0,0.004,7.8,0.0,4.87,12.74,ww_12,0.0,0.0,116.67,28.0,764.0,1.0,1.09,6.1,<2,0.11,25.9,8.0,,<2,0.012,0.018000000000000002,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
16,0.0,0.0,248.0,0.0,0.0,0.10300000000000001,0.106,0.0403,0.0391,,87.17,80.22,0.0004,0.0,17.6,183.2,0.0,0.001,2007-01-02 00:00:00,0.0,0.0,0.001,0.0,0.0,11.9,40.0,,0.2,0.028999999999999998,0.92,50.0,,1.0,,0.0,,39.254,40.54,0.0452,0.0658,0.02,0.0,0.0,0.597,,0.004,0.006999999999999999,7.51,0.0,<5.77,12.31,ww_12,0.0,0.0,125.01,23.0,744.0,6.6,0.93,5.5,,0.28,24.3,6.0,,,0.004,0.011000000000000001,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
17,0.0,0.0,198.0,0.0,0.0,0.079,0.063,0.0481,0.0503,,90.7,90.43,0.0004,0.0,9.2,637.9,0.004,0.0009,2007-03-05 00:00:00,0.0,0.0,0.0007,0.0,0.0,12.2,,,0.2,0.052000000000000005,0.68,110.0,,1.26,,0.0,,37.621,36.38,0.1044,0.1165,0.18,0.0,0.003,0.875,,0.012,0.004,6.9,0.0,<4.41,7.12,ww_12,0.0,0.0,98.99,14.0,1316.0,2.2,1.2,3.6,,0.11,13.8,3.0,,,0.013000000000000001,0.013999999999999999,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
18,0.0,0.0,205.0,0.0,0.0,0.083,0.078,0.0414,0.0454,<2,81.82,83.89,0.0003,0.0,30.2,317.5,0.0,0.0013,2007-04-02 00:00:00,0.0,0.0008,0.0014,0.0,0.0,8.9,160.0,<2,0.16,0.032,1.13,170.0,,5.34,,0.0,<2,35.021,34.65,0.0446,0.1037,0.1,0.0,0.002,0.322,<3,0.0,0.0,8.21,3.0,<6.42,5.73,ww_12,0.0,0.0,0.55,33.0,954.0,10.0,1.29,5.3,<2,0.1,20.7,8.0,,<2,0.01,0.018000000000000002,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
19,0.0,0.0,241.0,0.0,0.0,*0.098,0.086,0.0452,0.0491,,89.19,84.34,0.0,0.0,35.0,307.5,0.0,0.0012,2007-05-07 00:00:00,0.0,0.0,0.0007,0.0,0.0,11.6,,,0.22,0.02,0.71,170.0,,2.84,,0.0,,39.775999999999996,38.24,0.0248,0.1398,0.03,0.0,0.002,0.0,,0.004,0.004,8.12,0.0,<5.93,5.33,ww_12,0.0,0.0,101.47,11.0,922.0,22.3,1.79,6.0,,0.08,8.56,6.0,,,0.006999999999999999,0.011000000000000001,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
