Name,Count,Percent
NB11,3,0.000276880479926
NB13R,1,0.000092293493309
NB17,1,0.000092293493309
NB18,1,0.000092293493309
NB3,1,0.000092293493309
NB5,1,0.000092293493309
NB8,1,0.000092293493309
NBPS,53,0.004891555145362
NBPS (DS-M90 & DS-M91),100,0.009229349330872
Obrien,6,0.000553760959852
PULASKI RD PS (18E-PS),70,0.006460544531611
Pulaski Road(TARP relief),37,0.003414859252423
RAPS,46,0.004245500692201
"RAPS (DS-M27, DS-M28, DS-M29)",111,0.010244577757268
TG-13A,8,0.00073834794647
TG-I12,44,0.004060913705584
TG-I28 & I29,50,0.004614674665436
TG-I32,25,0.002307337332718
TG-I5,7,0.000646054453161
TG-I8,20,0.001845869866174
TG-I9,34,0.003137978772497
TG-M05,2,0.000184586986617
TG-M16,21,0.001938163359483
TG-M22,53,0.004891555145362
TG-M71,13,0.001199815413013
TG-M81,17,0.001568989386248
TG-M94,34,0.003137978772497
TG132,18,0.001661282879557
TG13A,16,0.00147669589294
TGI12,25,0.002307337332718
TGI8,7,0.000646054453161
TGI9,34,0.003137978772497
TGM105,2,0.000184586986617
TGM5,1,0.000092293493309
TGM71,23,0.002122750346101
TGNASH,10,0.000922934933087
UDP-DS1 (K1),8,0.00073834794647
UDP-DS1 (K2-1&K2-2),5,0.000461467466544
UDP-DS1A (K1A),5,0.000461467466544
UDP-DS3 (K11),7,0.000646054453161
UDP-DS3 (K14),4,0.000369173973235
UDP-DS4 (K20),1,0.000092293493309
UDP-DS6 (K22),5,0.000461467466544
UDP-DS8 (K25-1&K25-2),1,0.000092293493309
UDP-DS8 (K26),4,0.000369173973235
WCPS,25,0.002307337332718
WCPS (DS-D34-AI),58,0.005353022611906
Wilmette,19,0.001753576372866
Wilmette DS-M114N-2,107,0.009875403784033
