collect(date),time(collected),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),(),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),as_sol(qual_code),ba_tot(mg/l),ba_tot(qual_code),ba_sol(mg/l),b_tot(mg/l),b_tot(qual_code),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),cd_sol(qual_code),ca_tot(mg/l),ca_tot(qual_code),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr_sol(qual_code),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),cu_sol(qual_code),fe_tot(mg/l),fe_sol(mg/l),fe_sol(qual_code),pb_tot(mg/l),pb_sol(mg/l),pb_sol(qual_code),mg_tot(mg/l),mg_tot(qual_code),mg_sol(mg/l),mn_tot(mg/l),mn_tot(qual_code),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),ni_sol(qual_code),se_tot(mg/l),se_tot(qual_code),se_sol(mg/l),ag_tot(mg/l),ag_tot(qual_code),ag_sol(mg/l),ag_sol(qual_code),zn_tot(mg/l),zn_sol(mg/l),zn_sol(qual_code),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l),xylenes_(total)(ug/l)
2012-05-07 00:00:00,1030.0,ww_23,7.2,16.6,7.78,2.733,0.16,1.19,0.44,56.19,562.0,38.0,6.0,,166.0,182.0,0.24,5.5,<5,0.005,<0.001,,<1.90,3.6,9000.0,,5.8,,<0.02,,0.038,,,0.11,,,,0.001,,57.0,,,,<0.005,,<6,,<0.005,,,0.1,,,<0.02,,25.0,,,0.092,,,<0.2,,,0.005,,0.008,,,0.001,,0.001,,,0.01,,5.204,,,,,,
2012-05-07 00:00:00,1130.0,ww_29,6.0,17.2,7.52,2.724,0.15,1.61,0.63,50.21,536.0,75.0,20.0,,163.0,166.0,0.23,6.2,<5,<0.005,0.0011,,<1.90,2.2,8000.0,,9.1,,<0.02,,0.043,,,0.1,,,,0.001,,55.0,,,,<0.005,,<6,,<0.005,,,0.1,,,<0.02,,25.0,,,0.116,,,<0.2,,,0.005,,<0.005,,,0.001,,0.001,,,0.01,,9.811,,,,,,
2012-05-07 00:00:00,1230.0,ww_91,6.8,17.8,7.94,3.224,0.32,<1,0.52,60.14,606.0,95.0,12.0,,177.0,198.0,0.25,5.0,<5,<0.005,0.001,,<1.70,2.5,200.0,,10.2,,<0.02,,0.043,,,0.12,,,,0.001,,66.0,,,,<0.005,,<6,,<0.005,,,0.1,,,<0.02,,30.0,,,0.219,,,<0.2,,,0.005,,0.005,,,0.001,,0.001,,,0.02,,8.043,,,,,,
2012-05-07 00:00:00,855.0,ww_79,6.0,17.1,7.49,0.312,0.29,1.03,0.1,48.84,712.0,24.0,5.0,,158.0,294.0,0.15,5.9,<5,<0.005,0.0011,,<2.20,2.0,2800.0,,19.9,,<0.02,,0.038,,,0.06,,,,0.001,,55.0,,,,<0.005,,<6,,<0.005,,,0.1,,,<0.02,,23.0,,,0.104,,,<0.2,,,0.006,,<0.005,,,0.001,,0.001,,,0.01,,<5.0,,,,,,
2012-05-07 00:00:00,920.0,ww_80,7.1,17.2,7.84,3.601,0.28,<1,0.53,70.88,920.0,3.0,2.0,,174.0,371.0,0.26,4.8,<5,0.005,0.001,,<2.30,2.6,40.0,,6.9,,<0.02,,0.044,,,0.1,,,,0.001,,74.0,,,,<0.005,,<6,,<0.005,,,<0.1,,,<0.02,,30.0,,,0.056,,,<0.2,,,0.006,,0.008,,,0.001,,0.001,,,0.01,,<5.0,,,,,,
2012-05-07 00:00:00,950.0,ww_18,8.0,17.7,7.73,3.431,0.33,<1,0.57,69.77,900.0,10.0,3.0,,173.0,370.0,0.26,5.0,<5,<0.005,0.0011,,<2.40,2.2,280.0,,18.5,,<0.02,,0.039,,,0.1,,,,<0.001,,65.0,,,,<0.005,,<6,,<0.005,,,<0.1,,,<0.02,,27.0,,,0.04,,,<0.2,,,0.005,,<0.005,,,0.001,,0.001,,,0.01,,<5.0,,,,,,
2012-05-07 00:00:00,1020.0,ww_90,6.4,16.8,7.49,0.388,0.41,1.04,0.14,30.91,596.0,83.0,14.0,,168.0,225.0,0.11,6.7,<5,<0.005,<0.001,,2.3,3.0,5400.0,,18.8,,<0.02,,0.068,,,<0.05,,,,0.001,,52.0,,,,<0.005,,<6,,<0.005,,,0.1,,,<0.02,,22.0,,,0.167,,,<0.2,,,<0.005,,<0.005,,,0.001,,0.001,,,<0.01,,7.216,,,,,,
2012-05-07 00:00:00,1120.0,ww_110,6.7,13.9,7.06,0.487,0.42,1.37,0.13,41.83,604.0,24.0,10.0,,151.0,227.0,0.16,9.6,<5,<0.005,<0.001,,<2.40,4.9,26000.0,,25.9,,<0.02,,0.038,,,0.05,,,,0.001,,52.0,,,,<0.005,,<6,,<0.005,,,0.2,,,<0.02,,18.0,,,0.089,,,<0.2,,,<0.005,,<0.005,,,0.001,,0.001,,,0.01,,5.142,,,,,,
2012-05-07 00:00:00,1220.0,ww_111,7.6,15.4,7.46,3.76,0.32,1.62,0.56,40.57,500.0,37.0,9.0,,127.0,165.0,0.22,6.4,<5,<0.005,0.001,,<2.00,5.4,6700.0,,17.1,,<0.02,,0.034,,,0.07,,,,0.001,,46.0,,,,<0.005,,<6,,<0.005,,,0.1,,,<0.02,,18.0,,,0.068,,,<0.2,,,<0.005,,<0.005,,,0.001,,0.001,,,0.01,,<5.0,,,,,,
2012-05-07 00:00:00,1140.0,ww_89,7.4,16.1,7.23,4.155,0.32,1.56,0.64,40.71,478.0,20.0,8.0,,154.0,155.0,0.26,7.0,<5,<0.005,0.0013,,<2.00,4.5,7000.0,,14.3,,<0.02,,0.034,,,0.09,,,,0.001,,54.0,,,,<0.005,,<6,,<0.005,,,0.1,,,<0.02,,20.0,,,0.043,,,<0.2,,,<0.005,,<0.005,,,0.001,,0.001,,,0.02,,6.881,,,,,,
2012-05-07 00:00:00,1255.0,ww_92,4.6,19.2,7.42,5.421,0.99,1.24,0.77,94.05,540.0,31.0,7.0,,145.0,153.0,0.44,5.3,<5,0.06,0.0016,<5,,,900.0,,5.8,,<0.02,,0.026,,,0.21,,,,<0.001,,60.0,,,,<0.005,,<6,,<0.005,,,0.1,,,<0.02,,22.0,,,0.111,,,<0.2,,,0.008,,<0.005,,,0.001,,0.001,,,0.02,,,,,,,,
2012-05-14 00:00:00,935.0,ww_106,8.0,15.8,7.12,7.514,0.61,1.45,1.36,56.73,1018.0,12.0,4.0,,232.0,383.0,0.66,5.0,<5,0.005,0.001,,<2.70,4.4,350.0,,6.5,,<0.02,,0.079,,,0.17,,,,0.001,,88.0,,,,<0.005,,<6,,0.008,,,0.1,,,<0.02,,40.0,,,0.067,,,<0.2,,,<0.005,,0.007,,,0.002,,0.002,,,0.02,,<5.0,,,,,,
2012-05-14 00:00:00,955.0,ww_31,8.0,15.7,7.35,0.23,0.18,<1,0.11,75.78,808.0,5.0,2.0,,234.0,276.0,0.37,5.8,<5,<0.005,<0.001,,<2.30,<1.50,160.0,,1.0,,0.02,,0.038,,,0.1,,,,0.001,,74.0,,,,<0.005,,<6,,<0.005,,,0.1,,,<0.02,,37.0,,,0.055,,,<0.2,,,<0.005,,0.006,,,0.001,,0.001,,,<0.01,,<5.0,,,,,,
