collect(date),time(collected),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),alk(qual_code),cl(mg/l),cl(qual_code),f(mg/l),toc(mg/l),toc(qual_code),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),chloroph(yll_a),chloroph(qual_code),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l),xylenes_(total)(ug/l)
2012-06-04 00:00:00,1050.0,ww_23,6.9,29.7,7.31,3.725,0.13,<1,0.62,64.63,708.0,21.0,4.0,,162.0,,247.0,,0.32,5.7,,<5,<0.005,<0.001,,<2.20,3.2,260.0,4.8,,,<0.02,0.039,,0.14,,,<0.001,61.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,27.0,,0.06,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,13.506,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,1120.0,ww_29,7.1,22.2,7.81,4.097,0.11,<1,0.67,65.47,674.0,14.0,<4,,155.0,,229.0,,0.33,5.4,,<5,<0.005,<0.001,,<2.30,3.5,110.0,8.0,,,<0.02,0.036,,0.14,,,<0.001,59.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,26.0,,0.043,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.02,<5.0,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,1250.0,ww_91,8.1,23.8,8.16,4.353,<0.1,<1,0.74,59.37,616.0,23.0,5.0,,141.0,,207.0,,0.33,5.2,,<5,<0.005,<0.001,,<1.90,4.2,<10,9.5,,,<0.02,0.039,,0.14,,,<0.001,55.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,24.0,,0.078,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,<5.0,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,850.0,ww_79,8.0,23.3,8.2,<0.15,<0.1,1.3,0.13,56.48,868.0,21.0,11.0,,156.0,,357.0,,0.18,6.6,,<5,<0.005,<0.001,,<2.20,<1.60,40.0,55.7,,,<0.02,0.042,,0.08,,,<0.001,59.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,26.0,,0.091,,0.27,,,<0.005,<0.005,,0.001,0.001,,<0.01,<5.0,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,915.0,ww_80,7.2,20.0,8.01,7.578,0.11,1.09,1.09,71.28,798.0,<4,<4,,149.0,x,296.0,x,0.47,5.6,,<5,0.005,0.0013,,<2.20,2.4,470.0,7.9,,,<0.02,0.033,,0.19,,,<0.001,66.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,27.0,,0.035,,<0.2,,,0.006,<0.005,,0.001,0.001,,0.02,<5.0,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,940.0,ww_18,7.3,19.5,7.4,6.925,0.17,1.06,1.01,75.89,816.0,6.0,<4,,147.0,,301.0,,0.43,5.6,,<5,<0.005,0.0014,,<2.30,4.1,70.0,2.7,,,<0.02,0.033,,0.18,,,<0.001,65.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,27.0,,0.04,,<0.2,,,0.006,<0.005,,0.001,0.001,,0.01,<5.0,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,1045.0,ww_90,7.3,20.4,7.95,0.352,<0.1,<1,0.15,46.46,806.0,12.0,<4,,207.0,,300.0,,0.18,6.1,,<5,<0.005,<0.001,,<2.60,2.8,60.0,3.5,,,<0.02,0.078,,0.06,,,<0.001,69.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,32.0,,0.076,,<0.2,,,<0.005,0.007,,0.001,0.001,,0.01,<5.0,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,1120.0,ww_110,3.5,18.9,7.4,<0.15,0.11,2.36,0.41,44.14,1092.0,26.0,18.0,,186.0,,475.0,,0.25,12.0,,<5,<0.005,<0.001,,<2.70,3.1,1200.0,97.7,,,<0.02,0.055,,0.08,,,<0.001,73.0,,,<0.005,<6,,<0.005,,0.2,,<0.02,27.0,,0.235,,<0.2,,,0.006,<0.005,,0.001,0.001,,0.01,<5.0,,,,,,
2012-06-04 00:00:00,1210.0,ww_111,6.0,22.4,7.98,9.916,0.23,1.39,2.17,58.8,586.0,43.0,7.0,,145.0,,175.0,,0.56,6.5,,<5,<0.005,0.0012,,<2.00,6.9,160.0,9.8,,,<0.02,0.035,,0.15,,,<0.001,61.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,23.0,,0.061,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.02,<5.0,,,,,,
2012-06-04 00:00:00,1145.0,ww_89,6.4,19.6,7.69,13.656,0.11,1.3,2.8,61.66,582.0,16.0,6.0,,139.0,x,149.0,x,0.74,6.6,,<5,0.007,0.0033,,<1.90,6.0,110.0,8.6,,,<0.02,0.032,,0.21,,,<0.001,62.0,,,<0.005,<6,,0.007,,0.1,,<0.02,24.0,,0.033,,<0.2,,,0.008,<0.005,,0.001,0.001,,0.06,<5.0,<2,<2,<2,<3,<3,<3
