collect(date),time(collected),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),alk(qual_code),cl(mg/l),cl(qual_code),f(mg/l),toc(mg/l),toc(qual_code),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),chloroph(yll_a),chloroph(qual_code),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l),xylenes_(total)(ug/l)
2012-06-18 00:00:00,1100.0,ww_40,4.9,25.5,7.4,3.823,0.61,1.48,0.83,34.63,366.0,17.0,4.0,,123.0,,72.0,,0.49,3.6,,<5,<0.005,<0.001,<5,,,60.0,6.8,,,<0.02,0.025,,0.09,,,<0.001,45.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,17.0,,0.024,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,,,,,,,
2012-06-18 00:00:00,800.0,ww_75,6.2,26.8,7.3,2.212,0.33,<1,0.37,30.59,302.0,11.0,<4,,117.0,,50.0,,0.4,3.0,,<5,<0.005,<0.001,<5,<1.40,2.2,90.0,11.4,,,<0.02,0.021,,0.06,,,<0.001,41.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,15.0,,0.02,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,,,,,,,
2012-06-18 00:00:00,820.0,ww_41,7.0,24.9,7.04,5.709,0.27,1.26,0.26,43.79,414.0,6.0,<4,,111.0,,88.0,,0.47,5.3,,<5,<0.005,<0.001,<5,<1.80,3.1,5500.0,19.0,,,<0.02,0.017,,0.12,,,<0.001,46.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,15.0,,0.045,,<0.2,,,0.005,<0.005,,0.001,0.001,,0.01,,,,,,,
2012-06-18 00:00:00,905.0,ww_92,4.2,25.8,6.93,5.439,0.66,1.44,1.43,83.44,550.0,8.0,<4,,138.0,,136.0,,0.68,4.4,,<5,<0.005,0.001,<5,<2.00,3.1,30.0,2.5,,,<0.02,0.019,,0.2,,,<0.001,55.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,20.0,,0.026,,<0.2,,,0.006,<0.005,,0.001,0.001,,0.01,,,,,,,
2012-06-18 00:00:00,925.0,ww_42,6.2,26.5,6.93,5.608,0.83,1.94,0.75,63.12,506.0,10.0,4.0,,137.0,,116.0,,0.72,5.2,af,<5,<0.005,0.0012,<5,,,310.0,27.4,,,<0.02,0.017,,0.31,,,<0.001,55.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,19.0,,0.032,,<0.2,,,0.008,<0.005,,0.001,0.001,,0.02,,,,,,,
2012-06-18 00:00:00,955.0,ww_48,4.4,23.0,7.15,4.972,0.75,1.59,0.97,80.01,580.0,11.0,4.0,,142.0,,131.0,,0.7,5.1,,<5,<0.005,0.001,<5,,,140.0,11.0,,,<0.02,0.019,,0.26,,,<0.001,55.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,20.0,,0.034,,<0.2,,,0.007,<0.005,,0.001,0.001,,0.02,,,,,,,
2012-06-25 00:00:00,930.0,ww_49,9.3,19.1,6.88,0.263,0.16,<1,<0.1,26.23,202.0,<4,<4,,110.0,,15.0,,0.14,2.2,,<5,<0.005,<0.001,,<1.50,<1.50,<10,0.8,a,,<0.02,0.021,,<0.05,,,<0.001,35.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,12.0,,0.015,,<0.2,,,<0.005,<0.005,,<0.001,0.001,,<0.01,<5.0,,,,,,
2012-06-25 00:00:00,955.0,ww_50,3.9,24.1,10.46,<0.15,0.56,1.62,<0.1,47.14,392.0,<4,<4,,66.0,,128.0,,1.07,7.7,,<5,<0.005,<0.001,,<1.40,8.8,<10,8.5,a,,<0.02,0.066,,0.16,,,<0.001,32.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,2.0,,0.029,,<0.2,,,<0.005,<0.005,,<0.001,<0.001,,<0.01,<5.0,,,,,,
2012-06-25 00:00:00,1020.0,ww_86,2.6,22.5,7.35,<0.15,1.58,5.75,2.88,25.95,414.0,29.0,22.0,,191.0,,78.0,,0.53,13.5,,<5,0.005,<0.001,<5,,,50.0,42.1,a,,<0.02,0.021,,0.49,,,<0.001,56.0,,,<0.005,<6,,<0.005,,0.7,,<0.02,17.0,,0.219,,<0.2,,,<0.005,<0.005,,0.001,0.001,,<0.01,,,,,,,
2012-06-25 00:00:00,1055.0,ww_55,7.2,23.6,8.18,0.303,0.25,<1,<0.1,50.98,450.0,<4,<4,,112.0,,100.0,,0.23,2.9,,<5,0.006,<0.001,,<1.80,1.8,<10,3.5,a,,<0.02,0.031,,0.12,,,<0.001,42.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,15.0,,0.022,,<0.2,,,<0.005,<0.005,,<0.001,<0.001,,<0.01,<5.0,,,,,,
2012-06-25 00:00:00,905.0,ww_56,3.7,23.9,6.62,0.485,0.12,<1,0.25,47.39,402.0,15.0,4.0,,115.0,,84.0,,0.25,3.1,,<5,<0.005,<0.001,<5,<1.60,<1.70,20.0,6.5,a,,<0.02,0.031,,0.1,,,<0.001,42.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,15.0,,0.026,,<0.2,,,<0.005,<0.005,,<0.001,0.001,,0.01,,,,,,,
2012-06-25 00:00:00,925.0,ww_76,7.1,22.7,7.02,2.582,0.32,1.12,2.68,72.82,548.0,11.0,<4,,138.0,,110.0,,0.49,4.5,,<5,<0.005,<0.001,<5,<1.70,2.9,490.0,15.9,a,,<0.02,0.024,,0.17,,,<0.001,52.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,18.0,,0.038,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,,,,,,,
2012-06-25 00:00:00,935.0,ww_57,6.4,23.5,7.64,5.375,0.21,1.15,0.89,438.34,1282.0,23.0,6.0,,201.0,,183.0,,0.72,6.0,,<5,<0.005,<0.001,,<2.50,4.6,360.0,12.9,a,,<0.02,0.037,,0.33,,,<0.001,83.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,33.0,,0.103,,<0.2,,,0.007,0.006,,0.001,0.001,,0.01,<5.0,,,,,,
2012-06-25 00:00:00,1000.0,ww_58,1.9,23.3,7.74,3.023,0.32,1.43,2.76,112.01,662.0,16.0,5.0,,145.0,,118.0,,0.52,4.6,,<5,<0.005,<0.001,<5,,,300.0,18.4,a,,<0.02,0.026,,0.19,,,<0.001,56.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,20.0,,0.054,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,,,,,,,
2012-06-25 00:00:00,940.0,ww_54,6.4,21.1,7.07,15.246,0.21,1.13,1.49,756.9,1690.0,33.0,5.0,,163.0,,170.0,,0.7,5.5,,<5,<0.005,<0.001,,<3.10,4.7,150.0,2.5,a,,<0.02,0.019,,0.35,,,<0.001,83.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,31.0,,0.063,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.03,14.083,,,,,,
2012-06-25 00:00:00,1025.0,ww_52,4.6,21.7,7.58,6.72,0.39,1.15,0.78,139.37,986.0,23.0,<4,,232.0,,178.0,,2.31,6.1,,<5,<0.005,0.0018,,<2.30,5.4,610.0,2.2,a,,<0.02,0.039,,0.39,,,<0.001,88.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,37.0,,0.129,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,<5.0,,,,,,
2012-06-25 00:00:00,1120.0,ww_59,4.7,24.4,7.38,3.271,0.44,1.21,2.34,100.86,642.0,10.0,<4,,143.0,,121.0,,0.55,4.7,,<5,<0.005,<0.001,<5,,,740.0,4.9,a,,<0.02,0.023,,0.19,,,<0.001,56.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,20.0,,0.043,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.01,,,,,,,
2012-06-25 00:00:00,1200.0,ww_43,5.7,25.5,7.53,3.929,0.27,1.08,1.57,78.33,552.0,12.0,<4,,135.0,,120.0,,0.55,5.2,,<5,<0.005,<0.001,<5,,,30.0,15.3,a,,<0.02,0.022,,0.18,,,<0.001,52.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,19.0,,0.029,,<0.2,,,<0.005,<0.005,,<0.001,0.001,,0.01,,,,,,,
2012-06-25 00:00:00,1100.0,ww_92,5.0,27.6,7.54,6.085,0.39,1.25,0.89,86.64,606.0,4.0,<4,,129.0,,116.0,,0.8,4.7,,<5,<0.005,<0.001,<5,,,<10,3.7,a,,<0.02,0.019,,0.23,,,<0.001,54.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,19.0,,0.039,,<0.2,,,0.006,<0.005,,<0.001,0.001,,0.01,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*_ll_hg:_based_on_the_sample_matrix_some_samples_need_to_be_diluted_x2,_x5_and_x10.__the_reporting_limit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"note:_ww_97,_june_25,_2012;_sample_never_arrived_at_laboratory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x=_matrix_spike_recovery_failure_(wrong_pipet_used_to_spike).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
