sampling(point),ambient_water_quality_monitoring_program,,,,,
,,,,,,
ww_98,south_branch_chicago_river_@_halsted_st.,"41°_50'_57.58""","_87°_38'_46.84""",,,
ww_99,"south_fork,_south_branch_chicago_river_@_archer_ave.","41°_50'_18.78""","_87°_39'_50.34""",,,
ww_100,chicago_river_main_stem_@_wells_st.,"41°_53'_15.01""","_87°_38'_02.91""",,,
ww_101,north_shore_channel_@_foster_ave.,"41°_58'_33.18""","_87°_42'_17.05""",,,
ww_102,north_shore_channel_@_oakton_ave.,"42°_01'_35.53""","_87°_42'_36.24""",,,
ww_103,"west_fork,_north_branch_chicago_river_@_golf_rd.","42°_03'_19.37""","_87°_46'_30.73""",,,
ww_104,north_branch_chicago_river_@_glenview_rd.,"42°_04'_08.30""","_87°_46'_28.15""",,,
ww_105,skokie_river_@_west_frontage_rd.,"42°_05'_19.96""","_87°_45'_35.47""",,,
ww_106,"west_fork,_north_branch_chicago_river_@_dundee_rd.","42°_08'_18.05""","_87°_50'_05.45""",,,
ww_107,chicago_sanitary_&ship_canal_@_western_ave.,"41°_50'_16.74""","_87°_41'_05.58""",,,
ww_108,south_branch_chicago_river_@_loomis_st.,"41°_50'_45.24""","_87°_39'_38.31""",,,
ww_109,salt_creek_@_brookfield_ave.,"41°_49'_22.12""","_87°_50'_29.56""",,,
ww_110,west_branch_dupage_river_@_springinsguth_rd.,"42°_00'_29.75""","_88°_07'_08.80""",,,
ww_111,west_branch_dupage_river_@_arlington_dr.,"41°_58'_29.94""","_88°_08'_19.05""",,,
,,,,,,
,,,,,,
,continuous_dissolved_oxygen_monitoring_program,,,,,
code,location_description,"north_
latitude","west
longitude",,,
1.0,"linden_st.,_north_shore_channel","42°_04'_25.59""","_87°_41'_09.93""",,,
2.0,"simpson_st.,_north_shore_channel","42°_03'_22.05""","_87°_42'_03.07""",,,
3.0,"main_st.,_north_shore_channel","42°_02'_01.66""","_87°_42'_35.65""",,,
4.0,"devon_ave.,_north_shore_channel","41°_59'_50.65""","_87°_42'_38.38""",,,
57.0,"foster_ave.,_north_shore_channel","41°_58'_33.17""","_87°_42'_17.46""",,,
66.0,"central_park_ave.,_north_branch_chicago_river","41°_58'_23.67""","_87°_43'_05.84""",,,
5.0,"lawrence_ave.,_north_branch_chicago_river","41°_58'_07.02""","_87°_42'_04.44""",,,
6.0,"addison_st.,_north_branch_chicago_river","41°_56'_48.42""","_87°_41'_46.82""",,,
7.0,"fullerton_ave.,_north_branch_chicago_river","41°_55'_30.99""","_87°_40'_28.63""",,,
8.0,"division_st.,_north_branch_chicago_river","41°_54'_13.02""","_87°_39'_26.15""",,,
9.0,"kinzie_st.,_north_branch_chicago_river","41°_53'_21.21""","_87°_38'_21.56""",,,
21.0,"chicago_river_lock,_chicago_river","41°_53'_17.08""","_87°_36'_35.98""",,,
22.0,"michigan_ave.,_chicago_river","41°_53'_20.85""","_87°_37'_26.81""",,,
10.0,"clark_st.,_chicago_river","41°_53'_16.05""","_87°_37'_50.76""",,,
11.0,"jackson_blvd.,_south_branch_chicago_river","41°_52'_41.31""","_87°_38'_15.02""",,,
12.0,"loomis_st.,_south_branch_chicago_river","41°_50'_46.05""","_87°_39'_38.40""",,,
49.0,"36th_st.,_south_fork_south_branch_chicago_river","41°_49'_44.85""","_87°_39'_28.41""",,,
13.0,"i_55,_south_fork_south_branch_chicago_river","41°_50'_22.44""","_87°_39'_52.87""",,,
14.0,"cicero_ave.,_chicago_sanitary_&_ship_canal","41°_49'_11.16""","_87°_44'_35.64""",,,
15.0,"b&o_rr_bridge,_chicago_sanitary_&_ship_canal","41°_46'_59.70""","_87°_49'_33.89""",,,
16.0,"route_83,_chicago_sanitary_&_ship_canal","41°_42'_26.27""","_87°_55'_46.38""",,,
17.0,"river_mile_302.6,_chicago_sanitary_&_ship_canal","41°_41'_14.40""","_87°_58'_28.20""",,,
18.0,"romeoville_rd.,_chicago_sanitary_&_ship_canal","41°_38'_26.04""","_88°_03'_35.96""",,,
19.0,"lockport_powerhouse,_chicago_sanitary_&_ship_canal","41°_34'_16.35""","_88°_04'_42.95""",,,
31.0,"130th_st.,_calumet_river","41°_39'_36.78""","_87°_34'_17.04""",,,
67.0,"hohman_ave.,_grand_calumet_river","41°_37'_27.88""","_87°_31'_04.75""",,,
32.0,"torrence_ave.,_calumet_river","41°_38'_39.64""","_87°_33'_34.09""",,,
33.0,"conrail_rr,_little_calumet_river","41°_38'_20.54""","_87°_33'_58.43""",,,
34.0,"c&w_indiana_harbor_belt_rr,_little_calumet_river","41°_39'_01.07""","_87°_36'_42.75""",,,
35.0,"halsted_st.,_little_calumet_river","41°_39'_25.95""","_87°_38'_27.86""",,,
65.0,"wentworth_ave.,_little_calumet_river","41°_35'_06.31""","_87°_31'_47.82""",,,
36.0,"ashland_ave.,_little_calumet_river","41°_39'_06.64""","_87°_39'_37.27""",,,
37.0,"division_st.,_calumet_sag_channel","41°_39'_09.94""","_87°_40'_15.25""",,,
38.0,"kedzie_ave.,_calumet_sag_channel","41°_39'_06.88""","_87°_41'_56.97""",,,
39.0,"cicero_ave.,_calumet_sag_channel","41°_39'_20.70""","_87°_44'_18.78""",,,
40.0,"river_mile_311.7,_calumet_sag_channel","41°_40'_37.74""","_87°_47'_32.68""",,,
41.0,"southwest_hwy.,_calumet_sag_channel","41°_40'_48.63""","_87°_48'_41.03""",,,
42.0,"104th_ave.,_calumet_sag_channel","41°_41'_21.12""","_87°_53'_03.12""",,,
20.0,"route_83,_calumet_sag_channel","41°_41'_46.68""","_87°_56'_29.29""",,,
58.0,"devon_ave.,_des_plaines_river","41°_59'_45.35""","_87°_51'_34.14""",,,
62.0,"irving_park_rd.,_des_plaines_river","41°_57'_11.37""","_87°_51'_14.91""",,,
63.0,"ogden_ave.,_des_plaines_river","41°_49'_15.00""","_87°_48'_37.86""",,,
64.0,"material_service_rd.,_des_plaines_river","41°_35'_47.37""","_88°_04'_06.95""",,,
23.0,"jefferson_st.,_des_plaines_river","41°_31'_29.11""","_88°_05'_09.67""",,,
68.0,"busse_woods_main_dam,_salt_creek","42°_01'_00.60""","_88°_00'_01.84""",,,
59.0,"j._f._kennedy_blvd.,_salt_creek","42°_00'_18.90""","_87°_59'_45.00""",,,
60.0,"thorndale_ave.,_salt_creek","41°_59'_01.80""","_87°_59'_26.68""",,,
61.0,"wolf_rd.,_salt_creek","41°_49'_33.24""","_87°_54'_01.41""",,,
